gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,drad,drad_NMDF,dmst,dmst_NMDF
1,1.0,6633.626561282771,1.0,124.24312098153938,1.0,8.905979237030458,1.0,793164.6617041748,1.0,8365.935526808904,1.0,6763.659504719879
2,1.0,6884.90002534342,1.0,125.26414453903848,1.0,8.977558707885866,1.0,805965.6035353736,1.0,8558.391870807087,1.0,6994.7055608801475
3,0.9641572778113997,6884.90002534342,0.9863359833930966,125.26414453903848,0.9858237385262439,8.977558707885866,0.9718484434418598,805965.6035353736,0.9681747867290507,8558.391870807087,0.9738888085509926,6994.7055608801475
4,0.9298569691571321,6884.90002534342,0.9680534203574436,125.26414453903848,0.9677046837282813,8.977558707885866,0.9364523549096551,805965.6035353736,0.955864621334542,8558.391870807087,0.9448808515168973,6994.7055608801475
5,0.9434206602079858,6884.90002534342,0.968122851917767,125.26414453903848,0.9679799711545451,8.977558707885866,0.9369852245563535,805965.6035353736,0.9680283349572278,8558.391870807087,0.9581512384137743,6994.7055608801475
6,0.9444584835862984,6884.90002534342,0.96161840573463,125.26414453903848,0.9609155204106745,8.977558707885866,0.9233586373661167,805965.6035353736,0.9567523236645038,8558.391870807087,0.9559358080970827,6994.7055608801475
7,0.9556741826991731,6884.90002534342,0.9612610476944075,125.26414453903848,0.9605287666051076,8.977558707885866,0.9226155114759289,805965.6035353736,0.9628765820710279,8558.391870807087,0.956376799991049,6994.7055608801475
8,0.8985265246727315,6884.90002534342,0.942751970426943,125.26414453903848,0.9416743227358292,8.977558707885866,0.886750530099983,805965.6035353736,0.9212822088413652,8558.391870807087,0.9137162948658454,6994.7055608801475
9,0.9230181233884661,6884.90002534342,0.9147116068822813,125.26414453903848,0.9139171449699907,8.977558707885866,0.8352445478700998,805965.6035353736,0.9082463859735836,8558.391870807087,0.9211367336542668,6994.7055608801475
10,0.8963684298931502,6884.90002534342,0.9315461667797992,125.26414453903848,0.9316222036659214,8.977558707885866,0.8679199303633482,805965.6035353736,0.9237828087893132,8558.391870807087,0.9069735704530965,6994.7055608801475
11,0.8699610112281922,6884.90002534342,0.914334032823802,125.26414453903848,0.9152701788077768,8.977558707885866,0.8377195002148177,805965.6035353736,0.9069542182648472,8558.391870807087,0.8862093098666536,6994.7055608801475
12,0.8723899210631141,6884.90002534342,0.9074761684297186,125.26414453903848,0.9071913751737049,8.977558707885866,0.8229961911895576,805965.6035353736,0.8894596046410986,8558.391870807087,0.8781338325700234,6994.7055608801475
13,0.850175708735304,6884.90002534342,0.8966497263080709,125.26414453903848,0.8961767342587846,8.977558707885866,0.8031327390267394,805965.6035353736,0.8767653065450077,8558.391870807087,0.8645746532719826,6994.7055608801475
14,0.8592020986300581,6884.90002534342,0.8909479408992164,125.26414453903848,0.891657275378782,8.977558707885866,0.7950526967359138,805965.6035353736,0.8885686895479572,8558.391870807087,0.8669911153936488,6994.7055608801475
15,0.8486042313820067,6884.90002534342,0.8734327400681903,125.26414453903848,0.8729839613505568,8.977558707885866,0.7621009967753081,805965.6035353736,0.8517367880970155,8558.391870807087,0.8598404662148617,6994.7055608801475
16,0.8425786112837451,6884.90002534342,0.8410072722141821,125.26414453903848,0.8410955483997022,8.977558707885866,0.7074417215377956,805965.6035353736,0.85849606596238,8558.391870807087,0.8505178947570609,6994.7055608801475
