gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF
1,1.0,123.52709716188109,1.0,8.848855143422263,1.0,783022.3734927048,1.0,1.7954292768260531,1.0,8.848855143422254
2,1.0,123.99878291264179,1.0,8.891078358740929,1.0,790512.7438127134,0.9463700878599016,1.7954292768260531,1.0,8.891078358740932
3,1.0,124.13052007071147,0.9999957154620235,8.891078358740929,0.9999914309424024,790512.7438127134,1.0,3.777877903768238,0.9999957154620225,8.891078358740932
4,0.9993196107600483,124.13052007071147,1.0,8.895000795751786,1.0,791210.3915642487,0.6513364758957206,3.777877903768238,1.0,8.895000795751784
5,0.9777388122588013,124.13052007071147,0.9777108363971216,8.895000795751786,0.9559184796083599,791210.3915642487,0.6876679499399296,3.777877903768238,0.977710836397122,8.895000795751784
6,0.9391959196551548,124.13052007071147,0.93939712998525,8.895000795751786,0.8824669678245256,791210.3915642487,0.41788072837537404,3.777877903768238,0.9393971299852505,8.895000795751784
7,0.9353480932211574,124.13052007071147,0.9357377571001795,8.895000795751786,0.8756051500628739,791210.3915642487,1.0,5.065200924679638,0.935737757100179,8.895000795751784
8,0.9232693843496278,124.13052007071147,0.9226145985093692,8.895000795751786,0.8512176973826051,791210.3915642487,0.29883108040991974,5.065200924679638,0.9226145985093696,8.895000795751784
9,0.9388178178260148,124.13052007071147,0.9379653501101601,8.895000795751786,0.8797789980072755,791210.3915642487,0.18509822621731836,5.065200924679638,0.9379653501101604,8.895000795751784
10,0.9425401172740069,124.13052007071147,0.94164969574991,8.895000795751786,0.8867041495058983,791210.3915642487,0.8058190143502612,5.065200924679638,0.9416496957499102,8.895000795751784
11,0.9108473754218575,124.13052007071147,0.9115943393696099,8.895000795751786,0.8310042395707167,791210.3915642487,0.7680135175972065,5.065200924679638,0.9115943393696104,8.895000795751784
12,0.8714711659278458,124.13052007071147,0.8723615887022549,8.895000795751786,0.7610147414431223,791210.3915642487,0.7588051544688853,5.065200924679638,0.872361588702255,8.895000795751784
13,0.8636709786184226,124.13052007071147,0.8634335848087309,8.895000795751786,0.7455175553756551,791210.3915642487,0.5476155918548047,5.065200924679638,0.8634335848087304,8.895000795751784
14,0.8764598366052685,124.13052007071147,0.8765775776492453,8.895000795751786,0.7683882496374188,791210.3915642487,0.9508756195114904,5.065200924679638,0.8765775776492454,8.895000795751784
15,0.8882019644641999,124.13052007071147,0.8885275606607208,8.895000795751786,0.7894812260536904,791210.3915642487,0.3806600635431979,5.065200924679638,0.8885275606607205,8.895000795751784
16,0.8808145676535241,124.13052007071147,0.8806472526617742,8.895000795751786,0.7755395836207313,791210.3915642487,0.4907367334975968,5.065200924679638,0.8806472526617745,8.895000795751784
17,0.8566514926129254,124.13052007071147,0.8573840232999381,8.895000795751786,0.73510736340999,791210.3915642487,0.2643539520119228,5.065200924679638,0.8573840232999389,8.895000795751784
18,0.8552117599594197,124.13052007071147,0.8556021513359063,8.895000795751786,0.7320550413706306,791210.3915642487,0.30984977625433924,5.065200924679638,0.855602151335906,8.895000795751784
19,0.8644215092935748,124.13052007071147,0.8643612193193049,8.895000795751786,0.7471203174631562,791210.3915642487,1.0,5.175355771516942,0.8643612193193053,8.895000795751784
20,0.8100469516532586,124.13052007071147,0.8108239367854443,8.895000795751786,0.6574354564642461,791210.3915642487,0.4171117558598466,5.175355771516942,0.8108239367854444,8.895000795751784
21,0.8283487054710114,124.13052007071147,0.8293413677725254,8.895000795751786,0.6878071042988037,791210.3915642487,1.0,9.563917380928537,0.8293413677725257,8.895000795751784
22,0.8319706606533511,124.13052007071147,0.8319116784491057,8.895000795751786,0.6920770407400082,791210.3915642487,0.18744134051326888,9.563917380928537,0.8319116784491056,8.895000795751784
23,0.8237279903408408,124.13052007071147,0.8239151512728156,8.895000795751786,0.6788361764969076,791210.3915642487,0.049540513008893124,9.563917380928537,0.8239151512728163,8.895000795751784
24,0.7921878758810749,124.13052007071147,0.7923457389477683,8.895000795751786,0.6278117700286853,791210.3915642487,0.9630540499149652,9.563917380928537,0.7923457389477685,8.895000795751784
25,0.801902439498249,124.13052007071147,0.8024301277440202,8.895000795751786,0.6438941099112844,791210.3915642487,0.20481395064134228,9.563917380928537,0.8024301277440201,8.895000795751784
26,0.7993793055452038,124.13052007071147,0.8003367709440626,8.895000795751786,0.6405389469251691,791210.3915642487,0.27467753117836846,9.563917380928537,0.8003367709440626,8.895000795751784
27,0.8031212732753488,124.13052007071147,0.8040050679368096,8.895000795751786,0.6464241492680735,791210.3915642487,0.041020129019803835,9.563917380928537,0.8040050679368094,8.895000795751784
28,0.7835456437237986,124.13052007071147,0.7859504193692545,8.895000795751786,0.6177180617067071,791210.3915642487,0.677948311199248,9.563917380928537,0.7859504193692545,8.895000795751784
29,0.7671332310384739,124.13052007071147,0.7678149598279894,8.895000795751786,0.5895398125356565,791210.3915642487,0.3095845083923135,9.563917380928537,0.767814959827989,8.895000795751784
30,0.7462038946303878,124.13052007071147,0.7477509986086287,8.895000795751786,0.5591315559202011,791210.3915642487,0.2464663993888457,9.563917380928537,0.7477509986086285,8.895000795751784
31,0.7519120277434257,124.13052007071147,0.7550625610228957,8.895000795751786,0.5701194710584548,791210.3915642487,0.21464183483992785,9.563917380928537,0.7550625610228963,8.895000795751784
32,0.7716225480981364,124.13052007071147,0.77334274840132,8.895000795751786,0.5980590065049065,791210.3915642487,0.19305775479753942,9.563917380928537,0.7733427484013194,8.895000795751784
