gen,dpw,dpw_NMDF,dmst,dmst_NMDF,drad,drad_NMDF,dmid,dmid_NMDF
1,1.0,123.13456421469161,1.0,4951.778189074003,1.0,5997.559743742282,1.0,4831.262483029162
2,1.0,127.77348698397748,1.0,5125.146107260863,1.0,6364.452728145982,1.0,4987.643211524405
3,0.977010739393141,127.77348698397748,0.9590428525741543,5125.146107260863,0.9699322633286966,6364.452728145982,0.9666331132496192,4987.643211524405
4,0.9697807631743526,127.77348698397748,0.9721856312425323,5125.146107260863,0.958957825625672,6364.452728145982,0.985886731735919,4987.643211524405
5,0.9347141205737165,127.77348698397748,0.9578381217537872,5125.146107260863,0.9313127339969566,6364.452728145982,0.9514887885503042,4987.643211524405
6,0.9412633720066566,127.77348698397748,0.9399470089218505,5125.146107260863,0.9327723791478459,6364.452728145982,0.9373328463647217,4987.643211524405
7,0.9101910621205521,127.77348698397748,0.9054991224114332,5125.146107260863,0.8978754463105078,6364.452728145982,0.9049050084651482,4987.643211524405
8,0.9087771560470802,127.77348698397748,0.8908219338936306,5125.146107260863,0.8776880561312611,6364.452728145982,0.8908477426856488,4987.643211524405
9,0.8948451772066068,127.77348698397748,0.8882400834653312,5125.146107260863,0.8825915283944527,6364.452728145982,0.8848793318580781,4987.643211524405
10,0.9145446170481641,127.77348698397748,0.918822694566458,5125.146107260863,0.9058661351744663,6364.452728145982,0.9263601340489496,4987.643211524405
11,0.8853365035290333,127.77348698397748,0.8586587527120958,5125.146107260863,0.8584183548458517,6364.452728145982,0.8559433440071824,4987.643211524405
12,0.8740851172740306,127.77348698397748,0.8515271744694652,5125.146107260863,0.8624203637270035,6364.452728145982,0.8446493829409054,4987.643211524405
13,0.8603488060297548,127.77348698397748,0.8566063300619531,5125.146107260863,0.8617372752333459,6364.452728145982,0.8516276208438543,4987.643211524405
14,0.8438297725892613,127.77348698397748,0.8316829082684845,5125.146107260863,0.8271122578918856,6364.452728145982,0.832722033364865,4987.643211524405
15,0.8850661158040427,127.77348698397748,0.8885155987976522,5125.146107260863,0.8688475050335076,6364.452728145982,0.8972358086224487,4987.643211524405
16,0.8418329191226267,127.77348698397748,0.8278719181046784,5125.146107260863,0.8233734618405723,6364.452728145982,0.8281355294521161,4987.643211524405
17,0.8374874022793197,127.77348698397748,0.8272326334904743,5125.146107260863,0.82636313979877,6364.452728145982,0.829650028576359,4987.643211524405
18,0.8428026681917401,127.77348698397748,0.8508937444336466,5125.146107260863,0.85646854810175,6364.452728145982,0.8610123443877332,4987.643211524405
