gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF
1,1.0,6696.2225815258935,1.0,127.5130540713746,1.0,9.12921767744052,1.0,833426.1540209254,1.0,4.590455531288086,1.0,9.129217677440524
2,0.954165929977386,6696.2225815258935,0.963569245437825,127.5130540713746,0.9637719649508835,9.12921767744052,0.9288564004252857,833426.1540209254,1.0,5.371196482989885,0.9637719649508827,9.129217677440524
3,0.9751092900238642,6696.2225815258935,0.9666993981395735,127.5130540713746,0.967930257509338,9.12921767744052,0.9368889834020924,833426.1540209254,1.0,5.710538116840379,0.9679302575093375,9.129217677440524
4,0.9726917517396355,6696.2225815258935,0.9546692781501832,127.5130540713746,0.9551724926070351,9.12921767744052,0.9123544906331353,833426.1540209254,0.4180119898716391,5.710538116840379,0.9551724926070343,9.129217677440524
5,0.9617459747077453,6696.2225815258935,0.9764724147243634,127.5130540713746,0.9776365649603173,9.12921767744052,0.9557732531474085,833426.1540209254,0.1671717952523736,5.710538116840379,0.9776365649603171,9.129217677440524
6,0.9669804294919943,6696.2225815258935,0.9350805277791161,127.5130540713746,0.9349967302568262,9.12921767744052,0.8742188855909563,833426.1540209254,0.6699933642227417,5.710538116840379,0.9349967302568263,9.129217677440524
7,0.9297159794588935,6696.2225815258935,0.9355997790032553,127.5130540713746,0.9368838632691541,9.12921767744052,0.8777513732541344,833426.1540209254,0.2721314762025972,5.710538116840379,0.9368838632691537,9.129217677440524
8,0.9129102108291415,6696.2225815258935,0.9059473771927347,127.5130540713746,0.9063454406392468,9.12921767744052,0.8214620577675487,833426.1540209254,0.48846343206659715,5.710538116840379,0.9063454406392458,9.129217677440524
9,0.9074336558221094,6696.2225815258935,0.8998630665643031,127.5130540713746,0.9004726755811431,9.12921767744052,0.810851039468263,833426.1540209254,0.22519432546168855,5.710538116840379,0.9004726755811433,9.129217677440524
10,0.8907140082864108,6696.2225815258935,0.9148951623486841,127.5130540713746,0.915616480026795,9.12921767744052,0.838353538496656,833426.1540209254,0.35076985803960964,5.710538116840379,0.9156164800267936,9.129217677440524
11,0.8651318434957326,6696.2225815258935,0.8973486059040837,127.5130540713746,0.898312898723303,9.12921767744052,0.8069660640126634,833426.1540209254,0.5001510860418524,5.710538116840379,0.8983128987233031,9.129217677440524
12,0.9046223325197581,6696.2225815258935,0.8998305675988904,127.5130540713746,0.8998790496017511,9.12921767744052,0.8097823039121498,833426.1540209254,0.32850205118388315,5.710538116840379,0.8998790496017506,9.129217677440524
13,0.849742299413371,6696.2225815258935,0.8513939615361051,127.5130540713746,0.8527815195749366,9.12921767744052,0.727236320128537,833426.1540209254,0.2514339979588759,5.710538116840379,0.852781519574936,9.129217677440524
14,0.8728213406165223,6696.2225815258935,0.8603797310867913,127.5130540713746,0.8611921143421285,9.12921767744052,0.7416518578050654,833426.1540209254,0.6033028701543293,5.710538116840379,0.8611921143421282,9.129217677440524
15,0.8607141220230807,6696.2225815258935,0.8711154038738731,127.5130540713746,0.8705672946391328,9.12921767744052,0.7578874144952982,833426.1540209254,0.15956685091219772,5.710538116840379,0.8705672946391325,9.129217677440524
16,0.8424718121490746,6696.2225815258935,0.8491644646362944,127.5130540713746,0.8517104663219697,9.12921767744052,0.7254107184423875,833426.1540209254,0.1697926782842927,5.710538116840379,0.8517104663219699,9.129217677440524
17,0.8868958292463097,6696.2225815258935,0.8749215090738275,127.5130540713746,0.8757673223085645,9.12921767744052,0.7669684028235123,833426.1540209254,0.5613003008184206,5.710538116840379,0.875767322308564,9.129217677440524
18,0.8710870482592207,6696.2225815258935,0.8348088985296266,127.5130540713746,0.836617071647507,9.12921767744052,0.699928124572049,833426.1540209254,0.16844256751315656,5.710538116840379,0.8366170716475064,9.129217677440524
19,0.8150246246258349,6696.2225815258935,0.8318652452935462,127.5130540713746,0.8324664805466465,9.12921767744052,0.6930004412337204,833426.1540209254,0.46619319830663924,5.710538116840379,0.8324664805466465,9.129217677440524
20,0.8163729386765561,6696.2225815258935,0.8063829527627194,127.5130540713746,0.8069120747871736,9.12921767744052,0.6511070964373412,833426.1540209254,0.11704163897611244,5.710538116840379,0.8069120747871735,9.129217677440524
21,0.8602745541516094,6696.2225815258935,0.8247052956522464,127.5130540713746,0.8256094565274219,9.12921767744052,0.6816309747075049,833426.1540209254,0.24730661513738772,5.710538116840379,0.8256094565274218,9.129217677440524
22,0.8265073121308283,6696.2225815258935,0.810637258743551,127.5130540713746,0.8122502881206679,9.12921767744052,0.6597505305521072,833426.1540209254,0.27570772042384406,5.710538116840379,0.8122502881206674,9.129217677440524
23,0.8274000782051981,6696.2225815258935,0.8070028328338498,127.5130540713746,0.8081971551184124,9.12921767744052,0.6531826415414945,833426.1540209254,1.0,7.888950998913835,0.808197155118412,9.129217677440524
24,0.812550222735337,6696.2225815258935,0.794686883518887,127.5130540713746,0.7963126551353489,9.12921767744052,0.6341138447287091,833426.1540209254,0.18920001887103882,7.888950998913835,0.7963126551353489,9.129217677440524
25,0.7969054102343197,6696.2225815258935,0.8010378181726878,127.5130540713746,0.8033633492597939,9.12921767744052,0.6453926709339136,833426.1540209254,0.11128850832127787,7.888950998913835,0.8033633492597939,9.129217677440524
26,0.7919733480083647,6696.2225815258935,0.774022879920712,127.5130540713746,0.7752996072678237,9.12921767744052,0.6010894810296417,833426.1540209254,0.3215984108314996,7.888950998913835,0.7752996072678238,9.129217677440524
