dmid,dmid_std,dpw,dpw_std,dtd,dtd_std,dmi,dmi_std,dvac,dvac_std,dtap,dtap_std
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.9825878936545663,0.018653642877733103,0.9881285064065345,0.013281220750263896,0.9881375703357835,0.013130038702885025,0.9765882558254448,0.025813949687790275,0.8054099507312804,0.291685764112929,0.9881375703357835,0.013130038702884999
0.972706155437253,0.02227757891137778,0.9786654178674901,0.016588073608009717,0.9788303445613336,0.0163586764178274,0.9583764497282019,0.031913855887207736,0.669773725600813,0.3172723307181773,0.9788303445613333,0.016358676417827362
0.9641860078187757,0.025504952170888134,0.9656842673221661,0.017564992775622085,0.9658293999489713,0.017284517375311382,0.9331251843466875,0.03315619936389514,0.5424555351217204,0.3064644406029471,0.9658293999489714,0.0172845173753115
0.9509193177562377,0.02226182496247762,0.9581381802757873,0.016489591280139645,0.9582855410626574,0.01643933742862261,0.9185814300248419,0.03162402752539136,0.5388190147881005,0.30760465385344493,0.9582855410626572,0.01643933742862261
0.9451309695949839,0.0230903530552007,0.9471653659214916,0.0158241231349623,0.9472733178277672,0.015723231563942713,0.8975739586792397,0.029792764520112116,0.4873686405483054,0.3000171122735979,0.9472733178277672,0.015723231563942813
0.9334233741741907,0.026486560868741044,0.941658617745436,0.018980377320482144,0.9416977778585288,0.018778712289171683,0.8871473448589304,0.03552310431311465,0.4843620544825341,0.2930776003973067,0.9416977778585285,0.018778712289171683
0.9185437107148541,0.02545618614022215,0.9259719867207395,0.015452769814311344,0.9262458656101018,0.015105308358915447,0.8581595739004243,0.027981783081066136,0.39784036750197616,0.2466263096019107,0.9262458656101018,0.015105308358915458
0.9050594339746256,0.026480926919588057,0.9154402102969338,0.01471709531376175,0.915786475294998,0.014679084920066369,0.838880343867327,0.026764082454386523,0.41965098196771483,0.28218945675721696,0.9157864752949983,0.014679084920066294
0.9054917912644909,0.027229333057043874,0.9101515446858801,0.0189023503835445,0.9104141272135335,0.018633605594395954,0.8292010942874275,0.033968346405631164,0.4090870053986485,0.30700896747621764,0.9104141272135337,0.018633605594395947
0.8934407520132445,0.0190123649467688,0.9002984019184445,0.014643807940640826,0.9004406680575364,0.014425199259889571,0.8110014830655898,0.025982228497219366,0.3580829867825998,0.2849674561714816,0.9004406680575365,0.01442519925988963
0.8868399243617218,0.024652125039050867,0.892728054166859,0.013186532563909918,0.8931083700046265,0.012910843709114134,0.7978092504576011,0.023024239954141237,0.4281274624795543,0.2719655662012331,0.8931083700046263,0.012910843709113913
0.8727382173204503,0.02617295670905835,0.8774069161624345,0.014854251673543829,0.8776780023420963,0.014580059128637652,0.7705312539194076,0.025612686906030257,0.34596157152721757,0.21384959198372688,0.8776780023420963,0.014580059128637487
0.8653405385453672,0.023898572058314638,0.8711814771508564,0.01786188325695379,0.8715479754651212,0.017555624668335826,0.7599040734948465,0.030476500312471386,0.4007190053140949,0.32193192390266356,0.871547975465121,0.01755562466833585
0.8616456092875304,0.025008938957930042,0.8666079459260599,0.01726450362633696,0.8668823670259155,0.017085529633699074,0.7517769535833182,0.029574507979357213,0.30933316291057056,0.28202484628841396,0.8668823670259154,0.01708552963369897
0.8523968686174244,0.01861833563958809,0.8579446341069863,0.015941606586024032,0.8585032341365515,0.015784642018146656,0.7372769579465595,0.026998027340621077,0.37484766566781735,0.2845809957049095,0.8585032341365513,0.015784642018146628
0.842927168638029,0.024900808469113144,0.8492875985832969,0.016700845471480243,0.8498008466825872,0.016487142418011694,0.7224333048875538,0.027977470090389377,0.3082534798906943,0.21354573284835054,0.8498008466825874,0.016487142418011573
0.8329435416908333,0.021683829050853205,0.8355987172123601,0.01526913144520516,0.8361785358635462,0.015078402627440052,0.6994219020646993,0.025290315550501683,0.3621244631121966,0.31059462867446186,0.8361785358635462,0.015078402627440054
0.8301916836951942,0.021720851098807777,0.8326951529963883,0.015803500550903123,0.8331916532422801,0.015604792689440174,0.6944518405874842,0.02602726939721703,0.34987404321283533,0.29774330195834026,0.83319165324228,0.01560479268943999
0.8207354340850066,0.023887285569572283,0.8234044236360636,0.014886123982239763,0.8241941105721559,0.014740877669144762,0.6795132253762836,0.024350509194461495,0.2566050583483307,0.20223863083758087,0.824194110572156,0.01474087766914484
0.8110326282944981,0.02376127951955884,0.8135504304087671,0.015693971642701764,0.8143608199602261,0.015510986049660997,0.6634241357745246,0.02521662571204598,0.33718408775104464,0.23703348281863132,0.8143608199602261,0.015510986049661016
0.8051526633776224,0.021505186478611053,0.8043249875752646,0.01643849684342229,0.8051883715687492,0.016391919091439854,0.6485970087210343,0.026368630800130362,0.2740362273094706,0.22871711977474904,0.8051883715687491,0.01639191909143987
0.7969013301996669,0.02041883422641018,0.7999548608753527,0.017178430733428375,0.8008908917689582,0.01701161611877978,0.6417156156014502,0.027244953271330863,0.3283592150258157,0.2652321206804618,0.8008908917689584,0.017011616118779625
0.7901409958824331,0.021173790487358856,0.7927619399306292,0.014554475649686389,0.7935039816378381,0.014343789204453481,0.6298543131638443,0.02280452014328593,0.3037708556960077,0.2485243225498173,0.793503981637838,0.014343789204453429
0.782144019316589,0.021773530484282856,0.7844672374136944,0.017019989701434233,0.7854402705764427,0.016790447855411148,0.6171983377823809,0.026358456941964845,0.28262392736098557,0.26053357539639777,0.7854402705764427,0.016790447855411186
0.7773216833445228,0.021154157396469083,0.7814748321965339,0.01517805713391286,0.7826286576549942,0.015113239559715807,0.612736025792847,0.023565299910100524,0.2719648892100588,0.1936836694232403,0.782628657654994,0.015113239559715793
0.7638615350853315,0.022467902646403148,0.7721604888301489,0.01720186404104261,0.773508455929779,0.01724386620890668,0.5986126823167015,0.02662381760247196,0.2757151876160824,0.21236418374410648,0.773508455929779,0.017243866208906628
0.7559160515554763,0.018349044456222624,0.7600630330570057,0.015111962749754213,0.7615024047794947,0.015062281969715955,0.5801127848230884,0.02286676164836063,0.3766612290610788,0.28961873446535513,0.7615024047794947,0.015062281969715974
0.7546047809968519,0.02281788708036691,0.7609291857618241,0.014476544742649793,0.7622937390576913,0.014425013262446412,0.581299825614177,0.021906819854035593,0.31113034169020937,0.21347464928495619,0.7622937390576913,0.014425013262446348
