dpw,dpw_std,dmst,dmst_std,drad,drad_std,dmid,dmid_std
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.9764457880312576,0.029606801567514825,0.9785795975698338,0.02778954422050774,0.9830162529385141,0.021047093521781853,0.9632860231847455,0.047444926994831084
0.9644302217966512,0.032751575368631054,0.9590364618369351,0.033901276715770215,0.9666216747541845,0.027406496655979995,0.94157704581358,0.05543114923881298
0.9557478954418704,0.031045915371059107,0.9517914058360979,0.030715598570108856,0.9570243716260043,0.02773579076425601,0.9246754312004114,0.056381756917197615
0.9449450536886033,0.03548620027274177,0.9371027413019,0.039789340950807384,0.9401664874526251,0.03817693091919523,0.9146665678595977,0.06327895878169754
0.933263224701334,0.030540295685512656,0.9254068892493259,0.03610765007391163,0.9334900798904929,0.03327914381595408,0.9008814752143038,0.05952332443579553
0.9276918918903851,0.028135520307067428,0.9231940134406992,0.03796988871571442,0.9259428724918205,0.032042870372861194,0.8974182319543053,0.05200973289616356
0.9141466033733388,0.029915101336091196,0.9119354598324091,0.032667708476717225,0.9156291811575297,0.03221768059433201,0.8845078389919447,0.05197747692506275
0.8983868104640611,0.03488400799674691,0.9043153347880807,0.03257047632685088,0.9075263524418851,0.03483188280133935,0.8845202625065646,0.0564964063766923
0.8914812037476851,0.030659489640897184,0.8927195597959957,0.03038768876906166,0.8948052375164341,0.028854969225979462,0.8685879594731553,0.04472391875005097
0.8777177125578006,0.0350094126990755,0.8840941698699034,0.03543509648638547,0.885159378810192,0.032880631344732,0.8602541027687848,0.05632502868398979
0.8747448994862057,0.035538630196983945,0.8688337974187905,0.035939275555493186,0.871740660925785,0.03234316629144199,0.8471944187950154,0.05599230466219897
0.8589671115351591,0.03361679712676034,0.858111839452675,0.029000604577632774,0.8640603681246429,0.034367693648549705,0.8312174295987802,0.04939798138117282
0.8589084475274673,0.03522106665321309,0.8528410627820482,0.03059289320286427,0.8558858832122092,0.030919365182074814,0.834450934026259,0.04579723925671304
0.8455059119412601,0.03584026282225334,0.8362397976058198,0.030666442224200504,0.842262185497437,0.027552239980718,0.8166286796682943,0.04667518651018623
0.8412368848197063,0.03337941073158079,0.8313706895056835,0.03035171339954125,0.833779783156661,0.029040240117036327,0.810458253408589,0.045855245864870275
0.8171845754770841,0.03039848226718731,0.8288654589966966,0.03382545859465462,0.8284367463180453,0.034883617046415114,0.8150713531147928,0.049203546552146794
0.81172488505584,0.027364636658682467,0.806665461494414,0.02741326203913119,0.8150031271712354,0.02769726448564339,0.7825734009289621,0.04751834567931587
0.8011562451578865,0.0333283650400096,0.7961252774058535,0.02966086624021814,0.8006663256250269,0.02612603666323556,0.7698720054236924,0.049048240999618964
0.7929645497256455,0.03131738754842538,0.7903954020925745,0.03281475630985026,0.7914631169803744,0.030746982631859432,0.7675745486285475,0.05130075914835188
0.7835629600660848,0.03210168639967892,0.7791967968885755,0.02973354988380228,0.7806806311195205,0.02594230059767506,0.7519375176283013,0.03993215198701536
0.7740952342689675,0.029773820738988037,0.7657434238576651,0.02608432083840034,0.7750718033384533,0.026528928546754985,0.7456316306056976,0.04792641569036622
0.7623105202726529,0.032087042647563666,0.7574491576081409,0.02929079385058195,0.7597327680651347,0.02376432031393868,0.7329528014401332,0.04638891671511397
0.753326361900833,0.02945488906524697,0.7523821120299344,0.02739249683391562,0.7557810483345516,0.025322529596137847,0.7359641754797771,0.04356891707144623
0.7428534693588185,0.0295806183454576,0.7402301644481645,0.02847926645618862,0.7444833524087158,0.02867851148651876,0.715995475726249,0.049255541909111224
0.7355436215971018,0.02581505789494981,0.7314534881444983,0.030176001344158716,0.731917098019574,0.024549849195062333,0.7081801343890369,0.051441594604955544
0.721231501313062,0.025001101525652117,0.7207671187990377,0.025157695140746485,0.7199689124503585,0.028224591934735015,0.6987676364281067,0.04044080696859926
0.712228829334911,0.022815581502366483,0.7131668675772969,0.031530404147227506,0.7159152794413801,0.02994729375461751,0.6991631921793772,0.04981758788195189
0.7031467488032629,0.028469189896937207,0.7013107453061855,0.024033847429851728,0.7044516585811667,0.027092785728902283,0.6842416229129082,0.041983936587462606
0.6899045288816752,0.02987522117814165,0.6891595411765781,0.028801590086741307,0.6924287984657953,0.029975118007342916,0.6709882228056487,0.04548918168572584
0.6904574693520877,0.02365818876037337,0.6899760919978598,0.0259044730999213,0.6923087393454485,0.02448193025703299,0.6711657520550102,0.04421517614154552
0.6746555070046845,0.02562057401881535,0.6729820430188768,0.026845909956919517,0.6757297899386109,0.02411766320126967,0.6528996137472096,0.038528121856969876
0.6657139963341829,0.026402333262199717,0.6611408976748804,0.027730318871858565,0.6628490722786887,0.023540219585707355,0.6395682437819086,0.038166719187471665
0.655842259828129,0.023639621372489112,0.6501469047442109,0.02549524162953181,0.6541077625663948,0.026260591418259045,0.6293450872578712,0.040813994008516506
0.6500728215703943,0.024991929467797876,0.6391853274048745,0.027108292652179677,0.6439913952468878,0.025670588911426605,0.6242724270973551,0.042810809171386674
0.6354495904977756,0.02229772925623926,0.6322523655038501,0.0271529453331395,0.637588829990393,0.02536709606334831,0.6159920136594506,0.043508777760345646
0.6235504240306318,0.023853926030966845,0.6327762836174342,0.023038207298565098,0.6339586612157359,0.019428906242471223,0.6177906428238988,0.029239685600203572
0.6078211303266687,0.022305441145880373,0.6107149001608974,0.027062691181448117,0.613766485399755,0.024162770834216356,0.5969032429140363,0.03655772048062221
0.6049793988133446,0.02206347311718647,0.6026008488271382,0.023245795334939832,0.6041134717970229,0.020181890297871926,0.586507555210482,0.03445052326695864
