gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF,dmid,dmid_NMDF
1,1.0,124.3401612979441,1.0,8.90877338450268,1.0,793662.4321642335,1.0,1.4760703987171104,1.0,8.90877338450268,1.0,6664.690700565667
2,0.9986014294180187,124.3401612979441,1.0,8.91061451031823,1.0,793990.5095149381,1.0,6.315991890983412,1.0,8.910614510318231,1.0,6668.721498880335
3,1.0,125.06592056772855,1.0,8.948769241129295,1.0,800804.7093098188,0.4043343004567028,6.315991890983412,1.0,8.9487692411293,0.9962966436311865,6668.721498880335
4,0.9676595331430888,125.06592056772855,0.9685128689081411,8.948769241129295,0.9380171772406753,800804.7093098188,0.3946770691639479,6.315991890983412,0.9685128689081397,8.9487692411293,0.9645385580880984,6668.721498880335
5,0.9602553563501038,125.06592056772855,0.9610443153175715,8.948769241129295,0.9236061760042178,800804.7093098188,0.3492962291757492,6.315991890983412,0.9610443153175705,8.9487692411293,0.9351887045432494,6668.721498880335
6,0.9638545192233857,125.06592056772855,0.9661852736585708,8.948769241129295,0.9335139830346875,800804.7093098188,0.7043976482913755,6.315991890983412,0.966185273658571,8.9487692411293,0.9692335847155233,6668.721498880335
7,0.9514531922196952,125.06592056772855,0.9528066181775894,8.948769241129295,0.9078404516430144,800804.7093098188,0.3601481932886909,6.315991890983412,0.9528066181775893,8.9487692411293,0.9548893538416461,6668.721498880335
8,0.9011098384271321,125.06592056772855,0.9035626347518146,8.948769241129295,0.8164254349196409,800804.7093098188,0.20530319755152215,6.315991890983412,0.9035626347518145,8.9487692411293,0.9144724239202657,6668.721498880335
9,0.9052035506942736,125.06592056772855,0.9067694575479828,8.948769241129295,0.8222308491418616,800804.7093098188,0.6032991157100435,6.315991890983412,0.9067694575479821,8.9487692411293,0.9109863535350099,6668.721498880335
10,0.877154171968711,125.06592056772855,0.8794046713734565,8.948769241129295,0.7733525760334554,800804.7093098188,0.26721934840986916,6.315991890983412,0.8794046713734557,8.9487692411293,0.8636238323552015,6668.721498880335
11,0.9054449336189034,125.06592056772855,0.907358554573471,8.948769241129295,0.8232995465576576,800804.7093098188,0.7999962717832758,6.315991890983412,0.9073585545734705,8.9487692411293,0.8953827247728656,6668.721498880335
12,0.8912849055010035,125.06592056772855,0.892754797433971,8.948769241129295,0.7970111283413682,800804.7093098188,0.22888306004254158,6.315991890983412,0.8927547974339697,8.9487692411293,0.8677185137115604,6668.721498880335
13,0.8919627229488477,125.06592056772855,0.8936289754382677,8.948769241129295,0.7985727457428472,800804.7093098188,0.49449963061755353,6.315991890983412,0.8936289754382674,8.9487692411293,0.8903553713132041,6668.721498880335
14,0.8796144114065116,125.06592056772855,0.8803992721122035,8.948769241129295,0.7751028783356962,800804.7093098188,0.19330397729255766,6.315991890983412,0.8803992721122028,8.9487692411293,0.8856534867312084,6668.721498880335
15,0.8918051160843244,125.06592056772855,0.8927216912879674,8.948769241129295,0.7969520180960484,800804.7093098188,0.04995514289516586,6.315991890983412,0.8927216912879672,8.9487692411293,0.8954110644049238,6668.721498880335
16,0.8692870553144664,125.06592056772855,0.8701211591507623,8.948769241129295,0.7571108316018661,800804.7093098188,0.1434693063516015,6.315991890983412,0.8701211591507624,8.9487692411293,0.8684209372580419,6668.721498880335
17,0.853874064160513,125.06592056772855,0.8559293550468892,8.948769241129295,0.732615060830983,800804.7093098188,0.2915383706677913,6.315991890983412,0.8559293550468888,8.9487692411293,0.8568069425223629,6668.721498880335
18,0.8298721822943281,125.06592056772855,0.8307916622210094,8.948769241129295,0.6902147860159473,800804.7093098188,0.9846752716837361,6.315991890983412,0.8307916622210091,8.9487692411293,0.8260580434860797,6668.721498880335
19,0.8378114672373866,125.06592056772855,0.8394741219621549,8.948769241129295,0.7047168014441301,800804.7093098188,0.20957083550904085,6.315991890983412,0.8394741219621544,8.9487692411293,0.8100325945727991,6668.721498880335
20,0.8314434116618281,125.06592056772855,0.8327646713331583,8.948769241129295,0.693496997820622,800804.7093098188,0.24094093578596162,6.315991890983412,0.8327646713331578,8.9487692411293,0.8231647306447117,6668.721498880335
