gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,drad,drad_NMDF,dmst,dmst_NMDF
1,1.0,6648.700222976664,1.0,124.75027305747437,1.0,8.938841806372347,1.0,799028.9283934999,1.0,8448.880875005407,1.0,6840.704756378326
2,1.0,6677.245202731871,1.0,125.53708456577415,1.0,8.994103210404216,1.0,808938.9255940338,1.0,8484.844896336279,1.0,6867.857570746201
3,1.0,6751.934003774916,0.9895954034427764,125.53708456577415,0.9888131680277915,8.994103210404216,0.9777514812651551,808938.9255940338,0.9914286971417732,8484.844896336279,1.0,6901.8111582252
4,0.9777776108097582,6751.934003774916,0.9620036825030166,125.53708456577415,0.9620982463344887,8.994103210404216,0.9256330355998998,808938.9255940338,0.9647870614060879,8484.844896336279,0.9752106137005231,6901.8111582252
5,0.9155751369101951,6751.934003774916,0.9492984809693894,125.53708456577415,0.9495657256041267,8.994103210404216,0.9016750672420915,808938.9255940338,0.9324940112824517,8484.844896336279,0.9256828772083951,6901.8111582252
6,0.9410132288268163,6751.934003774916,0.954234510625855,125.53708456577415,0.9542260951650949,8.994103210404216,0.9105474406940257,808938.9255940338,0.947763935828439,8484.844896336279,0.9423255861324205,6901.8111582252
7,0.9192390016288805,6751.934003774916,0.9252821786637174,125.53708456577415,0.924161558535663,8.994103210404216,0.8540745862750655,808938.9255940338,0.9249430257660213,8484.844896336279,0.927739105118975,6901.8111582252
8,0.8729996595623163,6751.934003774916,0.9222109376912536,125.53708456577415,0.9240297563669347,8.994103210404216,0.8538309906515366,808938.9255940338,0.9279149882198992,8484.844896336279,0.8870661290016126,6901.8111582252
9,0.8890352628504216,6751.934003774916,0.9192691958878075,125.53708456577415,0.9210017546448411,8.994103210404216,0.8482442320588769,808938.9255940338,0.9265730530088222,8484.844896336279,0.8982575777592856,6901.8111582252
10,0.8660175499405707,6751.934003774916,0.8917741137471279,125.53708456577415,0.8924763514814238,8.994103210404216,0.7965140379535932,808938.9255940338,0.8976151605985443,8484.844896336279,0.8766431053507765,6901.8111582252
11,0.9293357263098893,6751.934003774916,0.9145188821477231,125.53708456577415,0.9154547987306478,8.994103210404216,0.838057488518972,808938.9255940338,0.9376391354519475,8484.844896336279,0.9236574461152489,6901.8111582252
12,0.9027794489045989,6751.934003774916,0.9051257027697733,125.53708456577415,0.9060365109921283,8.994103210404216,0.8209021592507901,808938.9255940338,0.9203543227352953,8484.844896336279,0.9018525236085043,6901.8111582252
13,0.8732999368023011,6751.934003774916,0.8738008690233287,125.53708456577415,0.8742887083572829,8.994103210404216,0.7643807455610472,808938.9255940338,0.8752598193737652,8484.844896336279,0.8754878595847415,6901.8111582252
14,0.8791303295742351,6751.934003774916,0.8649229660963313,125.53708456577415,0.8644993837686241,8.994103210404216,0.747359184536331,808938.9255940338,0.8860134326708838,8484.844896336279,0.8820549031214572,6901.8111582252
15,0.8172392665581388,6751.934003774916,0.8479219590953881,125.53708456577415,0.847974657322911,8.994103210404216,0.7190610194619094,808938.9255940338,0.830590709962719,8484.844896336279,0.8310251204846144,6901.8111582252
16,0.8429625148506547,6751.934003774916,0.8652931404073183,125.53708456577415,0.8658458444568707,8.994103210404216,0.7496890263632321,808938.9255940338,0.8532898005075602,8484.844896336279,0.8440237992254965,6901.8111582252
17,0.8423299880280866,6751.934003774916,0.8407632590703602,125.53708456577415,0.8414646073026181,8.994103210404216,0.7080626853429494,808938.9255940338,0.8481979453859662,8484.844896336279,0.8417876367377142,6901.8111582252
18,0.8292503475806979,6751.934003774916,0.857193733051209,125.53708456577415,0.8579206877699818,8.994103210404216,0.7360279065037186,808938.9255940338,0.855052011465138,8484.844896336279,0.8336034166281463,6901.8111582252
19,0.8470610227544412,6751.934003774916,0.8461600580877735,125.53708456577415,0.846056312957139,8.994103210404216,0.715811284694629,808938.9255940338,0.8548162819228117,8484.844896336279,0.8561317342650193,6901.8111582252
20,0.828937865694959,6751.934003774916,0.820008807864941,125.53708456577415,0.8212187987930581,8.994103210404216,0.674400315491113,808938.9255940338,0.8345583010291895,8484.844896336279,0.8331180818181082,6901.8111582252
21,0.8094362203784181,6751.934003774916,0.8119364438043721,125.53708456577415,0.8122143737926655,8.994103210404216,0.6596921889954112,808938.9255940338,0.8152716110815438,8484.844896336279,0.814867201317068,6901.8111582252
22,0.8192385990858411,6751.934003774916,0.8106321506660861,125.53708456577415,0.8119194741124153,8.994103210404216,0.6592132324429826,808938.9255940338,0.8232625188862185,8484.844896336279,0.8206186599866545,6901.8111582252
23,0.8271335361263912,6751.934003774916,0.8375816954721164,125.53708456577415,0.8381162928187906,8.994103210404216,0.7024389202883132,808938.9255940338,0.8337842860466644,8484.844896336279,0.8325714433785778,6901.8111582252
