gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,drad,drad_NMDF,dmst,dmst_NMDF
1,1.0,14042.6877535487,1.0,199.04161457021917,1.0,5.638839307963152,1.0,1987281.7963143995,1.0,15947.90579473511,1.0,14211.370719876659
2,0.9983534738119001,14042.6877535487,0.98299981583535,199.04161457021917,0.9832619318116935,5.638839307963152,0.9668040265500616,1987281.7963143995,0.9931974807791756,15947.90579473511,0.9920078498715819,14211.370719876659
3,0.9973871368057314,14042.6877535487,0.9831886947533763,199.04161457021917,0.9836185354388697,5.638839307963152,0.9675054232589109,1987281.7963143995,0.9934376690677947,15947.90579473511,0.9890333194421016,14211.370719876659
4,0.9828026847292032,14042.6877535487,0.9745057191090635,199.04161457021917,0.9752739172374574,5.638839307963152,0.9511592136436949,1987281.7963143995,0.9849325819227724,15947.90579473511,0.977434791455947,14211.370719876659
5,0.945715318158898,14042.6877535487,0.9476816608353458,199.04161457021917,0.9482622806741847,5.638839307963152,0.8992013529494056,1987281.7963143995,0.9498830574224613,15947.90579473511,0.9498194095128956,14211.370719876659
6,0.9605154434823633,14042.6877535487,0.9565104431607448,199.04161457021917,0.9569356353327615,5.638839307963152,0.9157258101697155,1987281.7963143995,0.9623997198274492,15947.90579473511,0.9579688452848896,14211.370719876659
7,0.9648354463236162,14042.6877535487,0.9530771942289469,199.04161457021917,0.9536487842155136,5.638839307963152,0.9094460036357248,1987281.7963143995,0.9686514450019909,15947.90579473511,0.959948450633021,14211.370719876659
8,0.9653403430432693,14042.6877535487,0.9542400999536658,199.04161457021917,0.954365075613522,5.638839307963152,0.9108126975508024,1987281.7963143995,0.9562995387663852,15947.90579473511,0.9574343582992061,14211.370719876659
9,0.9298468332312522,14042.6877535487,0.932225290696904,199.04161457021917,0.9331921776289441,5.638839307963152,0.8708476403878492,1987281.7963143995,0.9330035475103965,15947.90579473511,0.9283939149195939,14211.370719876659
10,0.9189154295162193,14042.6877535487,0.9159114232339334,199.04161457021917,0.9161851621399764,5.638839307963152,0.8393952513254527,1987281.7963143995,0.9153471298813833,15947.90579473511,0.9131443975079486,14211.370719876659
11,0.9244759671946348,14042.6877535487,0.9137391008064988,199.04161457021917,0.913860410895707,5.638839307963152,0.835140850602468,1987281.7963143995,0.9156881768333737,15947.90579473511,0.9184541052298754,14211.370719876659
12,0.9076277567188861,14042.6877535487,0.9037066551788802,199.04161457021917,0.9038158272945326,5.638839307963152,0.8168830496680999,1987281.7963143995,0.9049883932264822,15947.90579473511,0.9045695394797063,14211.370719876659
13,0.8878944119215508,14042.6877535487,0.8918621507641329,199.04161457021917,0.892673050500276,5.638839307963152,0.7968651750894654,1987281.7963143995,0.8913179676489303,15947.90579473511,0.8808285521107588,14211.370719876659
14,0.8951900817674275,14042.6877535487,0.8940095582851544,199.04161457021917,0.8944878247032169,5.638839307963152,0.8001084685422917,1987281.7963143995,0.8958301479948992,15947.90579473511,0.8928182758184862,14211.370719876659
15,0.8739651572608352,14042.6877535487,0.8727948007151486,199.04161457021917,0.8731114491361314,5.638839307963152,0.7623236026125939,1987281.7963143995,0.8722699191555169,15947.90579473511,0.8668976394069946,14211.370719876659
16,0.8689000761938952,14042.6877535487,0.8657680062207966,199.04161457021917,0.8668792464310237,5.638839307963152,0.7514796278928183,1987281.7963143995,0.8741319930601948,15947.90579473511,0.8631192554442813,14211.370719876659
17,0.8457325124002547,14042.6877535487,0.8390113853571625,199.04161457021917,0.8400140418554509,5.638839307963152,0.7056235905143315,1987281.7963143995,0.8573446248676541,15947.90579473511,0.8389813562150901,14211.370719876659
18,0.8592762474421839,14042.6877535487,0.8399661705411307,199.04161457021917,0.8400690989424933,5.638839307963152,0.7057160909980519,1987281.7963143995,0.8466221247508678,15947.90579473511,0.8522954410117028,14211.370719876659
19,0.8601751308696645,14042.6877535487,0.8571546399323103,199.04161457021917,0.857349621202772,5.638839307963152,0.7350483729765374,1987281.7963143995,0.8635178079190708,15947.90579473511,0.8559558126623716,14211.370719876659
20,0.8266581094176142,14042.6877535487,0.8251335281609856,199.04161457021917,0.8264153977708174,5.638839307963152,0.6829624096726982,1987281.7963143995,0.8357252662039648,15947.90579473511,0.8194018929631917,14211.370719876659
21,0.8322535220904524,14042.6877535487,0.8293113556523016,199.04161457021917,0.8297685298487555,5.638839307963152,0.6885158131273644,1987281.7963143995,0.8301455910550702,15947.90579473511,0.826799690606501,14211.370719876659
22,0.8225318009987141,14042.6877535487,0.8186687452491148,199.04161457021917,0.8192628405609367,5.638839307963152,0.6711916019239751,1987281.7963143995,0.8242410652235302,15947.90579473511,0.8184899512888554,14211.370719876659
23,0.8255067017418855,14042.6877535487,0.8149484009827146,199.04161457021917,0.8153594544401556,5.638839307963152,0.6648110399449472,1987281.7963143995,0.8226880281525629,15947.90579473511,0.8182711140655156,14211.370719876659
