gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF,dmid,dmid_NMDF
1,1.0,124.40265109036825,1.0,8.910546911344502,1.0,793978.4625927107,1.0,1.1221490866007122,1.0,8.910546911344504,1.0,6743.046091449155
2,1.0,125.32497059636768,1.0,8.974494918046464,1.0,805415.5903404179,1.0,1.9854045474286552,1.0,8.974494918046464,0.9721852289858965,6743.046091449155
3,0.9860479084370223,125.32497059636768,0.9871977283038634,8.974494918046464,0.9745593547683099,805415.5903404179,1.0,2.9465068001029273,0.987197728303864,8.974494918046464,0.9593517857438804,6743.046091449155
4,0.9775017349594287,125.32497059636768,0.978165839602517,8.974494918046464,0.9568084097652981,805415.5903404179,1.0,6.064649903281803,0.9781658396025175,8.974494918046464,0.947435543006872,6743.046091449155
5,0.9844594094620498,125.32497059636768,0.9830239239657351,8.974494918046464,0.9663360350889921,805415.5903404179,1.0,10.440563714484467,0.9830239239657356,8.974494918046464,0.9680733325619955,6743.046091449155
6,0.9764972391918515,125.32497059636768,0.9763123114178418,8.974494918046464,0.9531857294260477,805415.5903404179,0.23430088793816883,10.440563714484467,0.9763123114178412,8.974494918046464,0.962171774068955,6743.046091449155
7,0.9199714854013409,125.32497059636768,0.9207675192284276,8.974494918046464,0.8478128244660721,805415.5903404179,0.2179074610119416,10.440563714484467,0.9207675192284273,8.974494918046464,0.8777865826818422,6743.046091449155
8,0.9304135396163085,125.32497059636768,0.9330365350328228,8.974494918046464,0.8705571757060561,805415.5903404179,0.061012828132744786,10.440563714484467,0.9330365350328228,8.974494918046464,0.9380067055372812,6743.046091449155
9,0.8975667320434426,125.32497059636768,0.8992457300500738,8.974494918046464,0.8086428830132911,805415.5903404179,0.0887795863264848,10.440563714484467,0.8992457300500742,8.974494918046464,0.8662991833124343,6743.046091449155
10,0.9192561727368553,125.32497059636768,0.9196135579998472,8.974494918046464,0.8456890960571369,805415.5903404179,0.7457930636421229,10.440563714484467,0.9196135579998465,8.974494918046464,0.920162691403884,6743.046091449155
11,0.8962071426572495,125.32497059636768,0.8962442454995048,8.974494918046464,0.8032537475909759,805415.5903404179,0.3366854496463905,10.440563714484467,0.8962442454995043,8.974494918046464,0.8821791646037279,6743.046091449155
12,0.8783077044304887,125.32497059636768,0.8796180309671532,8.974494918046464,0.7737278804025328,805415.5903404179,0.761044341616707,10.440563714484467,0.8796180309671539,8.974494918046464,0.9008264644776182,6743.046091449155
13,0.8628500461496652,125.32497059636768,0.8633932298101754,8.974494918046464,0.745447869282046,805415.5903404179,0.3257162050421303,10.440563714484467,0.8633932298101752,8.974494918046464,0.8757479488366755,6743.046091449155
14,0.8652353886988623,125.32497059636768,0.8660436048477799,8.974494918046464,0.7500315254977367,805415.5903404179,0.23634826006847867,10.440563714484467,0.8660436048477793,8.974494918046464,0.871298525851286,6743.046091449155
15,0.8710500819161869,125.32497059636768,0.8715547865535881,8.974494918046464,0.7596077459644713,805415.5903404179,0.325504165659485,10.440563714484467,0.8715547865535885,8.974494918046464,0.8665038423703403,6743.046091449155
16,0.8503401584129174,125.32497059636768,0.8514570878809534,8.974494918046464,0.7249791725027148,805415.5903404179,0.08548678442145248,10.440563714484467,0.851457087880954,8.974494918046464,0.8519556234991345,6743.046091449155
17,0.847027301085985,125.32497059636768,0.8471693794981582,8.974494918046464,0.7176959575592943,805415.5903404179,0.32996461373942243,10.440563714484467,0.8471693794981581,8.974494918046464,0.8174657611727922,6743.046091449155
18,0.8205810874294639,125.32497059636768,0.8216362206229311,8.974494918046464,0.6750860790395333,805415.5903404179,0.18101259674137765,10.440563714484467,0.8216362206229307,8.974494918046464,0.8043808425380586,6743.046091449155
