dpw,dpw_std,dtd,dtd_std,dmi,dmi_std,dvac,dvac_std,dtap,dtap_std,dmid,dmid_std
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.9889018137066208,0.010048840973510267,0.9889393683876713,0.01005860657857994,0.9781022499133097,0.019826371072737322,0.6895701308206802,0.3007169340545044,0.9889393683876715,0.01005860657857994,0.9856259202253961,0.012508808293063087
0.9758730246882777,0.01089102640747752,0.9758702937365702,0.010859199402904245,0.9524407524091707,0.02117286162210078,0.6561550270949112,0.3124014275158773,0.9758702937365701,0.010859199402903917,0.9731304833390427,0.013506721855751002
0.9657255712718811,0.010594398287718725,0.9657232668654336,0.010554604860989766,0.9327328278490168,0.020414877302855704,0.5979552371490731,0.32003199014477757,0.9657232668654332,0.010554604860989757,0.9657770965959297,0.01376136223692503
0.9578814459304662,0.009579968022154372,0.9579330020705771,0.00955003781031726,0.9177268396781274,0.018281803400306725,0.6126453638215517,0.3257901236681007,0.957933002070577,0.009550037810316984,0.9542558962069329,0.013293113326636727
0.9472968150038402,0.009134212636213604,0.9473472700986122,0.00912907667460329,0.8975501902042238,0.01731339421273538,0.5057391445967311,0.34718647367300853,0.9473472700986123,0.009129076674603345,0.9444888913587076,0.01325454182750162
0.9381957910381328,0.009766720822479818,0.9382307871412091,0.009774909447826217,0.8803725587943254,0.018340189447912426,0.42966732638033994,0.28973799353013313,0.938230787141209,0.009774909447825931,0.9356306632155166,0.013657509642491471
0.9269987951242975,0.00858611939142658,0.9270394814699258,0.008630078042032484,0.85947667845104,0.016012940679907557,0.4515659995643517,0.31934206960998257,0.9270394814699258,0.008630078042032741,0.9252327320685165,0.011712693660839288
0.9204294892602658,0.007115495907270223,0.9204819774075179,0.007082439790896321,0.8473372316854462,0.013052441532864494,0.45551692138488936,0.29641266371053454,0.9204819774075177,0.007082439790896218,0.9177460539121379,0.011055393847965684
0.9106377994821141,0.010597885379352166,0.9107286294314588,0.010672759088271705,0.8295405442526602,0.019462230485294593,0.39057450987924897,0.23997428358465692,0.910728629431459,0.010672759088271578,0.9066140155831078,0.011676758596392939
0.9008332862823099,0.010378316596747563,0.900870201721832,0.010348678152239511,0.8116742154898329,0.018631743180208254,0.427345921966078,0.28038570467023965,0.9008702017218316,0.010348678152239629,0.8979339687305334,0.013466282909459736
0.892121235390224,0.008573932620900114,0.8922049097875449,0.008546034756027436,0.7961026357590525,0.01527842253603451,0.40728864761551586,0.2749735930889793,0.8922049097875453,0.008546034756027216,0.8904341823084825,0.013115267461772004
0.8830787247035875,0.00919756521039225,0.883180515499529,0.009237840207705378,0.780093160649717,0.016305892595491655,0.32470860177496474,0.22403371528206534,0.8831805154995293,0.009237840207705428,0.8790726460093937,0.01138594107515471
0.8761619284009879,0.010173411959715668,0.8762534206407014,0.010130817333405847,0.7679226906443715,0.01773060823837385,0.3914912379883146,0.2757675540089538,0.8762534206407007,0.010130817333405387,0.8740321969919461,0.01162706452766209
0.8663263180998263,0.008196026979193968,0.8664374235885792,0.008212763774192356,0.7507812584836264,0.014235917356181928,0.37513265849603705,0.29627667820996667,0.8664374235885798,0.008212763774192541,0.8636567662593513,0.011066853426085061
0.8583073942238738,0.0083863121596871,0.8584657975579795,0.00842052791455963,0.7370344308672174,0.014434575958792908,0.29001598285284164,0.22303711054125155,0.8584657975579796,0.008420527914559512,0.8532679328667259,0.013084722939831176
0.8504573672477731,0.008570264254093858,0.8506305619329219,0.008542388691067044,0.7236453252988675,0.014505030606524727,0.36916253818233197,0.2887282843985938,0.8506305619329219,0.008542388691067097,0.8474931017060076,0.009995441400627433
0.8405743544615488,0.007640630874333225,0.8407455666902102,0.00757412096138773,0.7069104752175811,0.01277498119894558,0.44521221719997955,0.29081123938537545,0.8407455666902105,0.0075741209613876875,0.837630970588069,0.010207655224611256
0.8322601474881381,0.009541756769041539,0.8324299411637961,0.009544501455703541,0.6930307044539985,0.015868950979064125,0.30779116317117633,0.21555856940733398,0.8324299411637959,0.009544501455703491,0.8278437276902819,0.010518796719274533
0.8253783831790805,0.007596943497522312,0.825600413562854,0.007535896951197451,0.6816728326180146,0.012458909163932639,0.29481110695559554,0.22028582408288672,0.8256004135628539,0.007535896951197304,0.8212922946533513,0.010337583234109162
0.8175807257303395,0.008253723772086153,0.8178160238306531,0.008337129621226977,0.6688925565645001,0.013637840727837754,0.27476621151516145,0.212714133630571,0.8178160238306529,0.008337129621226824,0.8121770760224404,0.010417477195161227
0.8119482335863337,0.008989208907816324,0.8122199073953698,0.008978130596175499,0.6597817847983444,0.01461800994116149,0.4072991505461839,0.2780718345677259,0.8122199073953695,0.008978130596175209,0.8064228218912878,0.011243472252326353
0.8024206558492483,0.009271848479030967,0.8027549530228455,0.009308037025427532,0.6445021541559772,0.015000792739249416,0.25823212394226863,0.18528200814087564,0.8027549530228455,0.009308037025427575,0.7946417886329816,0.01144658482018657
0.7956524084760029,0.010098260278451439,0.7960485402624881,0.010121871402666729,0.6337957307347301,0.016102963812807056,0.3148092075345285,0.22888814133469904,0.7960485402624878,0.010121871402666698,0.787750344936008,0.010467192453694681
0.7877884718932543,0.009356433150809836,0.788206094451771,0.009393583470075201,0.6213570867413233,0.014827250895401007,0.2838662802309855,0.22288915528028824,0.7882060944517711,0.009393583470075155,0.7803569685676781,0.01090263529543046
0.7805867083615781,0.009869675126305287,0.7811152011020371,0.009921626170016244,0.6102393960585336,0.015471016121039379,0.3674706933796365,0.2532724443795331,0.781115201102037,0.009921626170016077,0.7698216425898938,0.010592644179654935
