gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF
1,1.0,6904.179674706061,1.0,129.79016256324005,1.0,9.290881340486184,1.0,863204.7608299436,1.0,1.9254124749184571,1.0,9.290881340486186
2,0.931341229812914,6904.179674706061,0.9535623150158558,129.79016256324005,0.9542786379887181,9.290881340486184,0.9106477189216032,863204.7608299436,1.0,3.4476378484497747,0.9542786379887181,9.290881340486186
3,0.9070834216936675,6904.179674706061,0.9473746430359137,129.79016256324005,0.9497812218982576,9.290881340486184,0.9020843694705477,863204.7608299436,1.0,5.2749899176759865,0.9497812218982579,9.290881340486186
4,0.9010419691493323,6904.179674706061,0.9081523125852063,129.79016256324005,0.9088602869620397,9.290881340486184,0.8260270212167194,863204.7608299436,0.3350189792690993,5.2749899176759865,0.9088602869620387,9.290881340486186
5,0.9381845353012281,6904.179674706061,0.9331145955559406,129.79016256324005,0.9344908737471799,9.290881340486184,0.8732731931167673,863204.7608299436,0.46143012251017057,5.2749899176759865,0.9344908737471797,9.290881340486186
6,0.9170287382618367,6904.179674706061,0.9083607612885234,129.79016256324005,0.9096287076719461,9.290881340486184,0.8274243858209345,863204.7608299436,0.5226280625943563,5.2749899176759865,0.9096287076719459,9.290881340486186
7,0.8944310083729834,6904.179674706061,0.9037426989808416,129.79016256324005,0.9042590211502932,9.290881340486184,0.8176843773316886,863204.7608299436,0.6055975475485774,5.2749899176759865,0.9042590211502942,9.290881340486186
8,0.9131986992026491,6904.179674706061,0.9193806957792561,129.79016256324005,0.9191458913216168,9.290881340486184,0.84482916953341,863204.7608299436,0.4191094959976333,5.2749899176759865,0.9191458913216171,9.290881340486186
9,0.8534159788019374,6904.179674706061,0.8930970238399484,129.79016256324005,0.8932988177091705,9.290881340486184,0.7979827777206024,863204.7608299436,0.6234613628871193,5.2749899176759865,0.8932988177091706,9.290881340486186
10,0.8817842496108954,6904.179674706061,0.8961198823452857,129.79016256324005,0.8964624536718058,9.290881340486184,0.8036449308432734,863204.7608299436,1.0,7.802288629818807,0.896462453671805,9.290881340486186
11,0.8600510349190313,6904.179674706061,0.8792345115638994,129.79016256324005,0.8808509706433636,9.290881340486184,0.7758984324833557,863204.7608299436,0.2838356069695929,7.802288629818807,0.8808509706433635,9.290881340486186
12,0.8287914565508638,6904.179674706061,0.8684568754741141,129.79016256324005,0.8700380074431519,9.290881340486184,0.7569661343956499,863204.7608299436,0.3797549484563362,7.802288629818807,0.8700380074431517,9.290881340486186
13,0.8471602594583416,6904.179674706061,0.8656986204226133,129.79016256324005,0.8670940803785167,9.290881340486184,0.7518521442274654,863204.7608299436,0.40982754688267387,7.802288629818807,0.8670940803785165,9.290881340486186
14,0.8440875362049015,6904.179674706061,0.8454484645305621,129.79016256324005,0.8466690194489257,9.290881340486184,0.7168484284946041,863204.7608299436,0.20582606484519855,7.802288629818807,0.8466690194489248,9.290881340486186
15,0.8286215771146325,6904.179674706061,0.8302008987941216,129.79016256324005,0.8312860605259158,9.290881340486184,0.6910365144246968,863204.7608299436,0.14193584283428298,7.802288629818807,0.8312860605259159,9.290881340486186
16,0.830726404736883,6904.179674706061,0.8255583209247871,129.79016256324005,0.8276126211284274,9.290881340486184,0.6849426506510661,863204.7608299436,0.24117387770174822,7.802288629818807,0.8276126211284274,9.290881340486186
17,0.8083988163110382,6904.179674706061,0.815791266907627,129.79016256324005,0.8172392687244857,9.290881340486184,0.6678800223453322,863204.7608299436,0.3800664188471767,7.802288629818807,0.8172392687244856,9.290881340486186
18,0.821939265270915,6904.179674706061,0.8196761752742441,129.79016256324005,0.8195827722736791,9.290881340486184,0.6717159206078097,863204.7608299436,0.1708023596168176,7.802288629818807,0.8195827722736791,9.290881340486186
19,0.8026325626041809,6904.179674706061,0.8034246130508045,129.79016256324005,0.8053701044377216,9.290881340486184,0.6486210051220258,863204.7608299436,0.14128288416197277,7.802288629818807,0.805370104437721,9.290881340486186
20,0.7934851274586613,6904.179674706061,0.8058976916161655,129.79016256324005,0.807540611477307,9.290881340486184,0.6521218391851428,863204.7608299436,0.4661517704563625,7.802288629818807,0.8075406114773069,9.290881340486186
21,0.8102886585139306,6904.179674706061,0.7915402536839475,129.79016256324005,0.7929586036060384,9.290881340486184,0.6287833470328383,863204.7608299436,0.2561675987297661,7.802288629818807,0.7929586036060382,9.290881340486186
22,0.7937577589747287,6904.179674706061,0.7822153299571262,129.79016256324005,0.7831814964932873,9.290881340486184,0.6133732564494635,863204.7608299436,0.08326015698085033,7.802288629818807,0.7831814964932863,9.290881340486186
23,0.7799459688807792,6904.179674706061,0.7803210461553971,129.79016256324005,0.7811551028404172,9.290881340486184,0.6102032946936234,863204.7608299436,0.09513230220247602,7.802288629818807,0.7811551028404176,9.290881340486186
24,0.7787612183304495,6904.179674706061,0.775519334671173,129.79016256324005,0.7771204426559981,9.290881340486184,0.6039161823938541,863204.7608299436,0.8682781251967624,7.802288629818807,0.7771204426559979,9.290881340486186
25,0.7641277798997618,6904.179674706061,0.7604471866202576,129.79016256324005,0.7620844910297678,9.290881340486184,0.5807727714680998,863204.7608299436,0.30851000590108,7.802288629818807,0.7620844910297674,9.290881340486186
26,0.7433100765916797,6904.179674706061,0.7438760694598668,129.79016256324005,0.7452869413826652,9.290881340486184,0.555452624995528,863204.7608299436,0.6886719730098396,7.802288629818807,0.745286941382665,9.290881340486186
27,0.7224042761620962,6904.179674706061,0.7531497239120764,129.79016256324005,0.7552994337365166,9.290881340486184,0.5704772346027024,863204.7608299436,1.0,8.186727658308202,0.7552994337365163,9.290881340486186
28,0.701380285601572,6904.179674706061,0.7202312987974965,129.79016256324005,0.7231248911481896,9.290881340486184,0.5229096081980803,863204.7608299436,0.8805058524844629,8.186727658308202,0.723124891148189,9.290881340486186
29,0.7258902023537783,6904.179674706061,0.7424566504284674,129.79016256324005,0.7449629955594211,9.290881340486184,0.5549698647528655,863204.7608299436,0.5405297194204809,8.186727658308202,0.7449629955594206,9.290881340486186
30,0.7178992200673372,6904.179674706061,0.7183734576040183,129.79016256324005,0.7207456957845746,9.290881340486184,0.5194743579919905,863204.7608299436,0.19512194732177793,8.186727658308202,0.7207456957845744,9.290881340486186
31,0.7241230559832234,6904.179674706061,0.7109909104505626,129.79016256324005,0.7117208161801897,9.290881340486184,0.5065465201841954,863204.7608299436,0.16815626939395797,8.186727658308202,0.7117208161801897,9.290881340486186
32,0.7093136975639494,6904.179674706061,0.7112745188633189,129.79016256324005,0.714669349283678,9.290881340486184,0.5107522788055563,863204.7608299436,0.5751589983027877,8.186727658308202,0.7146693492836783,9.290881340486186
33,0.7007384485902562,6904.179674706061,0.6978509291264233,129.79016256324005,0.6996250979462296,9.290881340486184,0.4894752776762713,863204.7608299436,0.14006958576835027,8.186727658308202,0.6996250979462294,9.290881340486186
34,0.7043982480965911,6904.179674706061,0.7064844408788998,129.79016256324005,0.7087263795194898,9.290881340486184,0.502293081026804,863204.7608299436,0.13106112860740962,8.186727658308202,0.7087263795194899,9.290881340486186
35,0.6961318840370184,6904.179674706061,0.7010779143042914,129.79016256324005,0.7028616446090913,9.290881340486184,0.4940144914625961,863204.7608299436,0.27685790644962166,8.186727658308202,0.7028616446090908,9.290881340486186
36,0.6921352512271294,6904.179674706061,0.7201151028470485,129.79016256324005,0.7231560447232017,9.290881340486184,0.5229546650197058,863204.7608299436,0.2154333517658485,8.186727658308202,0.7231560447232019,9.290881340486186
37,0.6852792442191005,6904.179674706061,0.6973098395510886,129.79016256324005,0.7009309272020492,9.290881340486184,0.4913041647083244,863204.7608299436,0.03431354608145942,8.186727658308202,0.7009309272020491,9.290881340486186
38,0.6775057867225075,6904.179674706061,0.6946701642588414,129.79016256324005,0.6974354734432902,9.290881340486184,0.48641623961706587,863204.7608299436,0.0328603001319549,8.186727658308202,0.6974354734432898,9.290881340486186
39,0.6680415135154895,6904.179674706061,0.7016886013793675,129.79016256324005,0.7044467015909908,9.290881340486184,0.4962451553824255,863204.7608299436,0.458894598265278,8.186727658308202,0.70444670159099,9.290881340486186
40,0.6812386255320938,6904.179674706061,0.6851394905964755,129.79016256324005,0.6884010695047287,9.290881340486184,0.4738960324952545,863204.7608299436,0.19281757658936785,8.186727658308202,0.6884010695047288,9.290881340486186
41,0.662451548682421,6904.179674706061,0.6701185830554295,129.79016256324005,0.6717356398794267,9.290881340486184,0.4512287698842232,863204.7608299436,0.5110292298911753,8.186727658308202,0.6717356398794269,9.290881340486186
42,0.6637301888473084,6904.179674706061,0.6808130025996166,129.79016256324005,0.6855401791858832,9.290881340486184,0.4699653372782123,863204.7608299436,0.1558141067246502,8.186727658308202,0.6855401791858827,9.290881340486186
43,0.6420076283313005,6904.179674706061,0.6661798839180996,129.79016256324005,0.6701128931068995,9.290881340486184,0.44905128950809936,863204.7608299436,0.17502453086539957,8.186727658308202,0.6701128931068997,9.290881340486186
44,0.6236189903227363,6904.179674706061,0.6577633585686029,129.79016256324005,0.6636937952697698,9.290881340486184,0.4404894538795917,863204.7608299436,0.08683044679115107,8.186727658308202,0.6636937952697702,9.290881340486186
45,0.6238556715540409,6904.179674706061,0.664025167610579,129.79016256324005,0.6684672017295739,9.290881340486184,0.4468483997881669,863204.7608299436,0.3612712627317457,8.186727658308202,0.668467201729574,9.290881340486186
46,0.5968464685169164,6904.179674706061,0.63995880139529,129.79016256324005,0.6450023273489893,9.290881340486184,0.4160280022856126,863204.7608299436,0.2072260756654478,8.186727658308202,0.6450023273489891,9.290881340486186
47,0.6256344556594178,6904.179674706061,0.658999234814622,129.79016256324005,0.6639813762407762,9.290881340486184,0.4408712679945943,863204.7608299436,0.671669573994635,8.186727658308202,0.6639813762407755,9.290881340486186
48,0.5671672940163921,6904.179674706061,0.6338353747605554,129.79016256324005,0.6416257642893377,9.290881340486184,0.4116836213998769,863204.7608299436,0.6468463479993924,8.186727658308202,0.6416257642893377,9.290881340486186
49,0.5708064493672563,6904.179674706061,0.6453583399284166,129.79016256324005,0.6530966049337746,9.290881340486184,0.4265351753760224,863204.7608299436,0.1818132549096806,8.186727658308202,0.6530966049337742,9.290881340486186
50,0.6131952804285247,6904.179674706061,0.6658347287529807,129.79016256324005,0.6730075066066102,9.290881340486184,0.45293910394884657,863204.7608299436,0.12822789708301124,8.186727658308202,0.6730075066066101,9.290881340486186
51,0.5820928516087174,6904.179674706061,0.6604118858766218,129.79016256324005,0.6678078366881371,9.290881340486184,0.4459673067420893,863204.7608299436,0.758714730930964,8.186727658308202,0.6678078366881367,9.290881340486186
52,0.5857743964366272,6904.179674706061,0.6440365893255995,129.79016256324005,0.651868644914543,9.290881340486184,0.42493273022272215,863204.7608299436,0.1861781029882604,8.186727658308202,0.6518686449145427,9.290881340486186
53,0.5583878522494264,6904.179674706061,0.6398039375122997,129.79016256324005,0.6476548625737515,9.290881340486184,0.4194568210154256,863204.7608299436,0.3570647252073389,8.186727658308202,0.6476548625737519,9.290881340486186
54,0.5504972944638983,6904.179674706061,0.6643240903471529,129.79016256324005,0.6741219295624241,9.290881340486184,0.45444037591696657,863204.7608299436,0.4112561305056224,8.186727658308202,0.6741219295624246,9.290881340486186
55,0.5555904237996414,6904.179674706061,0.6497605513267376,129.79016256324005,0.6598563163740134,9.290881340486184,0.43541035825868185,863204.7608299436,0.2752068519734845,8.186727658308202,0.6598563163740131,9.290881340486186
56,0.512001668110116,6904.179674706061,0.6338757631805462,129.79016256324005,0.6427935646358446,9.290881340486184,0.41318356673725604,863204.7608299436,0.06730294526277705,8.186727658308202,0.6427935646358448,9.290881340486186
