dmid,dmid_std,dpw,dpw_std,dtd,dtd_std,dmi,dmi_std,dmst,dmst_std,drad,drad_std
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.985539780649625,0.0204498383201903,0.986803797881408,0.01729351359666061,0.9740808011256877,0.03392119062311026,1.0,0.0,1.0,0.0
0.9633777861281679,0.04990023622543756,0.9697225394453645,0.027235880925484884,0.9716437265181529,0.026543528255458342,0.9447960901743319,0.05131339156384541,0.9600074844052746,0.03019725271451772,0.9682073740065632,0.01681221350167473
0.9182557183761806,0.05233611409901553,0.9787093582985232,0.015220619562774668,0.9776063485959571,0.015932133469178943,0.9559680056919997,0.03132045296001867,0.9618746133728315,0.041374813564761394,0.9551927376754902,0.039090504806649065
0.9770920156986707,0.019503265011943032,0.9596315600231294,0.025108781841574588,0.9594170933117069,0.02676830892907318,0.9211977013016067,0.05086489801064734,0.9678295469914029,0.024069829499878407,0.9649628067167341,0.015154633150914601
0.9051491321862111,0.031162057957361194,0.9504680181573009,0.03441748633537299,0.9504036110733082,0.0364036485065392,0.9045922495657722,0.06963417133447154,0.9181177361744804,0.011358131574010437,0.9298607287960522,0.020102148298386396
0.911125923911413,0.05300843210807023,0.9641736548546739,0.007153560077494442,0.9645464135215066,0.006146603570371164,0.9303875645726533,0.011831543061668658,0.9397538927809728,0.03645461474963088,0.9397114631245875,0.0261577424178219
0.8915355920942645,0.05121236921790277,0.9381586422819561,0.021023347705457097,0.9397268679491956,0.018874258054113656,0.8834428239626996,0.03544950075648322,0.8950276702586315,0.03524064196490349,0.9173647043502345,0.02559777887424057
0.9034968637915419,0.02690130891927441,0.9017644249583361,0.02456485998959899,0.9015113773873714,0.025112883551836374,0.8133534204791647,0.044915308460719124,0.9025493164750763,0.031145256177646515,0.8947308537915223,0.024564222993251474
0.9091016434744864,0.06845045416997426,0.911006622343189,0.028966123788101365,0.9113961765278038,0.029522813371707844,0.8315145870988809,0.0537174764625422,0.9207233177163232,0.04441169960897062,0.9445763547868592,0.03858782629780398
0.9077470984628672,0.0308635589777181,0.9160424586204373,0.0017319356880939165,0.9168897107482561,0.00257290760689664,0.8406933615295754,0.004713972460871404,0.906266361940819,0.008718935200607625,0.9279028086933497,0.031071359993634504
0.9480349104712479,0.03917643720404479,0.9152924625184937,0.021577382695110326,0.9161061487923748,0.023287691587497113,0.8397927924346716,0.04293696921400181,0.9169650868799577,0.022503445497469864,0.9200583288669096,0.004675282123812295
0.9043329266239205,0.0486183316787698,0.8577828605702932,0.010045781728928472,0.8581453375772634,0.012088990644869605,0.7365595641004073,0.02064537251918279,0.8842289433004938,0.010395661000953682,0.8950172799104888,0.019556502272674473
0.9120422328658991,0.01083796888289244,0.8805800706586663,0.03155388364997596,0.8812015375676325,0.03246091640639771,0.777569860905504,0.05688576022148965,0.8948370528953103,0.0015168901785292239,0.8833225800394103,0.010053985250434877
0.8744606586070538,0.06382489218979912,0.8715295138223311,0.005331992139734638,0.8721832857505286,0.0033185559074049194,0.7607146967558992,0.005790373147745388,0.8757367795940798,0.03757038413635627,0.8704219538841235,0.040263487465292756
0.9206329262673925,0.05822221654404605,0.8573536455613181,0.03717195357544033,0.8579465847858859,0.036632318058824186,0.7374142690721278,0.06255985139056658,0.8974947475256186,0.013595851004104625,0.902371360164843,0.03490539960023512
0.8633828894681455,0.024776566175567487,0.8455437435472559,0.011670683744774734,0.8450235454173441,0.013227187719303342,0.7142397508046611,0.022461557055897634,0.8627078018469595,0.02067036518185509,0.8518808801740945,0.03195767825382602
0.8590140375143215,0.012019283448314806,0.8548207959003492,0.012472584742044737,0.8537217313057277,0.011519263282974528,0.7289734879302316,0.01975239616248431,0.8557150633215497,0.008174546262934835,0.8622488167645752,0.016484928479623757
0.8539608200397115,0.030416431701328777,0.791986489707409,0.022905482118900308,0.7937994366984297,0.022066159261228728,0.6306044610872865,0.03486881764405846,0.8425551243537384,0.0027893013427054097,0.845897613077705,0.012585946580244034
0.847259208237141,0.01201089684963699,0.8382079822453324,0.011653367575934472,0.839649703823515,0.01015913842983403,0.7051148332245533,0.017045093703910576,0.8599301017358577,0.03140869252935124,0.868229657529015,0.01887294724476009
0.8386961223455799,0.07639008886537392,0.7956418079012281,0.039620609512599214,0.7960126089777434,0.03851971607997973,0.6351198421784373,0.061500399858706964,0.8247916571735812,0.04659338631322574,0.836430549299812,0.022607666550286384
0.8591000499904832,0.030754593538598392,0.8166445951463487,0.035777810697421704,0.8165997824796717,0.03513431539277209,0.6680696248639665,0.05742488550715076,0.8375059787971669,0.01582273225488906,0.8429477691243205,0.010534834493019677
0.7939631821980956,0.05088595577222892,0.777534233460627,0.011094128963765654,0.7807822427783794,0.009638207854211574,0.6097138056886782,0.014998360456734113,0.8148781674097867,0.04613588422060937,0.7994283776237395,0.03635558813991789
0.8212693783490382,0.02323405856782117,0.8019425935051471,0.014298004878814705,0.803651968012154,0.014865836135887907,0.6460774787738274,0.02385822238894647,0.8291626368074945,0.01515029301228255,0.8166838879622738,0.009952216063878335
0.7962385879660848,0.037866626219014946,0.7769579653004399,0.05918261330249717,0.7773081328864081,0.05817271372887301,0.6075919980739358,0.091833775470102,0.8001024160436309,0.02510446672731563,0.8017892116894262,0.017045779355466296
0.8209458397746646,0.09459958112226219,0.7839694805690476,0.006948046359280372,0.7873139150060972,0.009233235686784273,0.6199484534034757,0.014478967581349192,0.8225406765655187,0.05526571052917244,0.8354839286758335,0.048494937762714393
