dmid,dmid_std,dpw,dpw_std,dtd,dtd_std,dmi,dmi_std,drad,drad_std,dmst,dmst_std
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.9845297678408589,0.0216506679926986,0.9875999422095262,0.011925735840726063,0.9876140830812465,0.011872980511644598,0.9755225447666418,0.023302041072721717,0.9844530317434749,0.01668509603960678,0.9862042948388237,0.019013686137994593
0.9712588508100706,0.022346152138965722,0.9761800804728666,0.015345713932379098,0.9762023955559321,0.015133465925220984,0.9532001388800506,0.029437864673886247,0.9719711591880957,0.018036494717059745,0.9733997211759804,0.020667099874596934
0.9633170860122352,0.022600942248818475,0.9665948110603817,0.013511753972900137,0.9665557136537879,0.01335988589480849,0.9344084341479056,0.025864950967336556,0.9651257667164121,0.016543575140395655,0.9644142220628125,0.02013357876991419
0.9525699821932992,0.026022213273763115,0.9577308936881184,0.01748266136993393,0.9578676916203827,0.017392606938107114,0.9178130174262642,0.03353230308787904,0.95619621941477,0.017386322874839405,0.9536124214117128,0.023147646899173646
0.9421828270193013,0.022872741527754356,0.9445912071554331,0.01386536209121128,0.9446431320092504,0.013659078443240068,0.8925372172761648,0.02579534811260246,0.9430583746819265,0.017732200443378983,0.9431528076833835,0.02077635414437869
0.9327008028468015,0.022667760896199676,0.937645807872284,0.017045743824381822,0.9376252051015905,0.016863635488140568,0.879425407443677,0.03162408042862316,0.9349356576726414,0.01984020106158481,0.9348457993754933,0.022017731551797273
0.9255786763589238,0.020149872898346802,0.9277839995183368,0.01147003187117132,0.9276790930461907,0.011398368812684016,0.8607184224865934,0.02115759282193996,0.9269951682551202,0.013817318491718135,0.9259466366059774,0.017118089852920956
0.9128697728437415,0.024074712709792105,0.9151905162894959,0.014788876339376722,0.9152825018461521,0.014601458224244435,0.8379552607680254,0.026874569959421012,0.9140618022727705,0.016370508654800404,0.913590773131042,0.021484330541882455
0.9042868384305771,0.0254498885923781,0.9094324759389287,0.015481261921162106,0.9095578566950163,0.015394367560621633,0.8275324812282234,0.027923362331079057,0.9070975960948523,0.017060926203616735,0.9053565739192213,0.021849107380216053
0.8948246702416821,0.023798223792858043,0.9013047636602368,0.014325656522500863,0.9014819444239762,0.014146966452657271,0.8128698327822461,0.025419298966438568,0.8982032691443956,0.015753678136732435,0.8961953868463242,0.021411338314703817
0.8879920216497693,0.022682808955229738,0.8901570875751904,0.015062113487644913,0.8903576506833333,0.014863479125958985,0.7929576691420727,0.02646614728446731,0.8907880005636909,0.018119284405073356,0.8884282958791977,0.020503253175367435
0.8807458528727792,0.02032481358510349,0.88268637334119,0.012625976528037732,0.8828291153524559,0.012536935691422614,0.7795444216705301,0.022207084720760988,0.8829236871002218,0.014459016053534564,0.881341556444378,0.01939723627248562
0.8703297789598229,0.022931080567195724,0.8726804450726559,0.013544687920416411,0.872870555195774,0.01342660113833482,0.7620832797459061,0.023512807114480685,0.8717854223692184,0.017162936881280233,0.8704670034406192,0.019679995973653823
0.8588481883019433,0.021585681649569064,0.8629711199463049,0.014590399170054622,0.8632865727152003,0.01454533879641104,0.7454752735110596,0.025120986613013575,0.861927230584631,0.017804258016100215,0.859885617953844,0.019489616448828413
0.8542308438187729,0.021485046791928874,0.8571757291101175,0.015432978425610849,0.8573542006324278,0.015209610269771152,0.7352875575866276,0.026023431880549525,0.8555194846273386,0.017461708010099646,0.854780736104527,0.020118070187405496
0.8449969104765844,0.0225016492835585,0.8478592032138014,0.01662287455884171,0.8481703711955152,0.01653148275158043,0.7196662684959035,0.0281596060490212,0.8480781356668169,0.018385377773123324,0.8442556664542442,0.02074240837994589
0.8380937077489711,0.01634500979712306,0.8399855243562355,0.012821117948451432,0.8403515359692564,0.0129228432572099,0.7063577038837388,0.021812672398234617,0.8411179314231254,0.01533042465734113,0.837611524255133,0.014149471758436245
0.8262483928085885,0.020772453807181488,0.828898128787837,0.013468637971274311,0.8293332948898029,0.01331237016593118,0.6879709332122117,0.022097767825579914,0.8288883936564124,0.01623579567850725,0.8255713677440449,0.017666712169409075
0.8222123387912355,0.02034525789973997,0.8246176580298635,0.010924954323755133,0.8251661139079599,0.010917750772777764,0.6810183128239007,0.017994665991050336,0.8257459457672405,0.012752751065089881,0.8211492378203994,0.017910711158878358
0.8113369461909212,0.01636534315404169,0.81612685193655,0.01248245261162536,0.8166104121176403,0.012350844714313578,0.6670051085440994,0.020124697088200572,0.8150989892050116,0.013993442377260995,0.8117717099455772,0.015400882195537419
0.8027977414621003,0.023356925806150782,0.8080033925441401,0.015091967014149627,0.808565801850198,0.014971251308895275,0.6540027942874077,0.02424921033701191,0.8069561123032216,0.018352233854541218,0.8026967414855526,0.020516730871913358
0.7954796975125308,0.018661501134006078,0.8009143202951775,0.01634238999535126,0.8015199302756542,0.016418305463427294,0.6427037593833799,0.02657325073936477,0.8002535224776949,0.017046483859887857,0.7951131459263433,0.016796090527976225
0.7907400254504264,0.019883858088085123,0.7947041914813763,0.015434785119560555,0.7953207547283186,0.015356205597421164,0.6327709159519722,0.024563453085060246,0.7929958028247666,0.01727874939279217,0.7901516537937927,0.01788771975623996
0.7829111336822178,0.02077850866117156,0.786930043722926,0.013985231304846496,0.7876010180415375,0.014086660331843234,0.6205137976193709,0.022223213522398817,0.7858139962165887,0.014940954431904067,0.7821127823579852,0.01751958814743478
0.7734672366058323,0.020141007732291938,0.7795308200213834,0.016687540746386814,0.7803458242527032,0.016747295462958677,0.6092200773339532,0.02628961479810704,0.7774013877421094,0.015441354428539089,0.7734035199330188,0.01883634386665388
