gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF,dmid,dmid_NMDF
1,1.0,126.81498952081782,1.0,9.077735261788554,1.0,741647.4973480729,1.0,3.9606491148726963,1.0,9.568773141092228,1.0,6117.882762523776
2,0.9634620266360401,126.81498952081782,0.9633112687812452,9.077735261788554,0.9279686005609327,741647.4973480729,0.1214664990742105,3.9606491148726963,0.9633112687812453,9.568773141092228,0.961932822779864,6117.882762523776
3,0.985934799703663,126.81498952081782,0.9866096317883585,9.077735261788554,0.9733985655375599,741647.4973480729,0.1660479717063499,3.9606491148726963,0.9866096317883583,9.568773141092228,0.9661761693887989,6117.882762523776
4,0.9506961847627247,126.81498952081782,0.9503027665313941,9.077735261788554,0.903075348077222,741647.4973480729,1.0,6.458271647265388,0.9503027665313943,9.568773141092228,0.9604902288092773,6117.882762523776
5,0.9796671079157773,126.81498952081782,0.9807091349902802,9.077735261788554,0.9617904074533841,741647.4973480729,0.1654156452041992,6.458271647265388,0.9807091349902806,9.568773141092228,0.956247290216593,6117.882762523776
6,0.9516038308195611,126.81498952081782,0.9508410999466775,9.077735261788554,0.9040987973478078,741647.4973480729,0.23055649440297138,6.458271647265388,0.9508410999466776,9.568773141092228,0.9837453864143629,6117.882762523776
7,0.9351186558321388,126.81498952081782,0.9355116268997654,9.077735261788554,0.8751820040646466,741647.4973480729,0.4847024420269314,6.458271647265388,0.9355116268997659,9.568773141092228,0.9364027560386248,6117.882762523776
8,0.9141615765702498,126.81498952081782,0.9146887492566782,9.077735261788554,0.8366555080167488,741647.4973480729,0.8961855380567993,6.458271647265388,0.9146887492566796,9.568773141092228,0.8815980518942443,6117.882762523776
9,0.9026213194239597,126.81498952081782,0.9032004560793768,9.077735261788554,0.8157710638619946,741647.4973480729,0.2889803410502115,6.458271647265388,0.9032004560793769,9.568773141092228,0.9027961593824162,6117.882762523776
10,0.9252079563279911,126.81498952081782,0.9257390267318624,9.077735261788554,0.8569927456144567,741647.4973480729,0.4885841531481326,6.458271647265388,0.9257390267318629,9.568773141092228,0.9104771143418335,6117.882762523776
11,0.902209079186014,126.81498952081782,0.9030592972343483,9.077735261788554,0.8155160943213963,741647.4973480729,0.4485580532763221,6.458271647265388,0.9030592972343489,9.568773141092228,0.9138837281722603,6117.882762523776
12,0.8833716074771212,126.81498952081782,0.8836080202809798,9.077735261788554,0.780763133504874,741647.4973480729,0.351021192254683,6.458271647265388,0.8836080202809806,9.568773141092228,0.8893788081089367,6117.882762523776
13,0.8949079705699611,126.81498952081782,0.8949620614508118,9.077735261788554,0.8009570914362883,741647.4973480729,0.845305160649296,6.458271647265388,0.8949620614508127,9.568773141092228,0.9000321440891837,6117.882762523776
14,0.849631244125114,126.81498952081782,0.8512750915662969,9.077735261788554,0.7246692815212081,741647.4973480729,0.07043565442199715,6.458271647265388,0.8512750915662975,9.568773141092228,0.8492252963936545,6117.882762523776
15,0.8609321986422512,126.81498952081782,0.8622542225803692,9.077735261788554,0.7434823443576778,741647.4973480729,0.3788895713800665,6.458271647265388,0.8622542225803697,9.568773141092228,0.8534019145915371,6117.882762523776
16,0.8571246927073077,126.81498952081782,0.8565900806028417,9.077735261788554,0.7337465661871837,741647.4973480729,0.3277233021649778,6.458271647265388,0.8565900806028421,9.568773141092228,0.8500446039500101,6117.882762523776
17,0.8580570537979634,126.81498952081782,0.8592577903796716,9.077735261788554,0.7383239503281565,741647.4973480729,0.509407152747229,6.458271647265388,0.8592577903796721,9.568773141092228,0.8806184392218513,6117.882762523776
18,0.8731991511927016,126.81498952081782,0.8743713253622982,9.077735261788554,0.7645252146158228,741647.4973480729,0.1721396922428659,6.458271647265388,0.8743713253622987,9.568773141092228,0.8502119246122564,6117.882762523776
19,0.8400324932442661,126.81498952081782,0.8421602824773521,9.077735261788554,0.7092339413823335,741647.4973480729,0.6294933315610712,6.458271647265388,0.8421602824773521,9.568773141092228,0.8518092591179625,6117.882762523776
20,0.8197310939789272,126.81498952081782,0.8196527904487722,9.077735261788554,0.6718306968904604,741647.4973480729,0.17065403094904377,6.458271647265388,0.8196527904487731,9.568773141092228,0.8210303017870372,6117.882762523776
21,0.8312451960792436,126.81498952081782,0.831538958778695,9.077735261788554,0.6914570399667564,741647.4973480729,0.30979090492075423,6.458271647265388,0.8315389587786951,9.568773141092228,0.8501547874211753,6117.882762523776
22,0.8248707879632539,126.81498952081782,0.826409131874863,9.077735261788554,0.6829520532461665,741647.4973480729,0.4567395004276713,6.458271647265388,0.826409131874864,9.568773141092228,0.8336370601198411,6117.882762523776
23,0.8252017706898703,126.81498952081782,0.8253839559601496,9.077735261788554,0.6812586747564265,741647.4973480729,0.2552896134590847,6.458271647265388,0.8253839559601498,9.568773141092228,0.8464041506672896,6117.882762523776
24,0.7973742661877473,126.81498952081782,0.7992504740790047,9.077735261788554,0.6388013203155146,741647.4973480729,0.0579086658956599,6.458271647265388,0.7992504740790052,9.568773141092228,0.796765903137867,6117.882762523776
25,0.8150366677719836,126.81498952081782,0.8164056062570788,9.077735261788554,0.6665181139279881,741647.4973480729,0.7069776526725589,6.458271647265388,0.8164056062570786,9.568773141092228,0.8215652031227924,6117.882762523776
26,0.7817022190382733,126.81498952081782,0.7837010010175253,9.077735261788554,0.6141872589958735,741647.4973480729,0.21032889363358762,6.458271647265388,0.7837010010175267,9.568773141092228,0.7845378802640335,6117.882762523776
27,0.7769010641599772,126.81498952081782,0.7782706824844228,9.077735261788554,0.6057052552147697,741647.4973480729,0.4377380238212468,6.458271647265388,0.778270682484423,9.568773141092228,0.7664474150896377,6117.882762523776
28,0.7657875253623091,126.81498952081782,0.7674681972796104,9.077735261788554,0.5890074338356154,741647.4973480729,0.2819574825344644,6.458271647265388,0.7674681972796106,9.568773141092228,0.7767826322983258,6117.882762523776
29,0.7766898153543049,126.81498952081782,0.778320462205543,9.077735261788554,0.6057827418878508,741647.4973480729,0.5227412834464708,6.458271647265388,0.7783204622055434,9.568773141092228,0.7955434985236121,6117.882762523776
30,0.7477230230258326,126.81498952081782,0.7503989690098246,9.077735261788554,0.5630986126910091,741647.4973480729,0.3929128085619153,6.458271647265388,0.7503989690098256,9.568773141092228,0.7518118299805057,6117.882762523776
31,0.7534384103250821,126.81498952081782,0.7560070255581192,9.077735261788554,0.5715466226932348,741647.4973480729,0.1726150834765404,6.458271647265388,0.7560070255581193,9.568773141092228,0.766292903811447,6117.882762523776
32,0.770895067409797,126.81498952081782,0.7732989906564325,9.077735261788554,0.5979913289502589,741647.4973480729,0.5207960191832177,6.458271647265388,0.7732989906564336,9.568773141092228,0.7736798238949648,6117.882762523776
