gen,dpw,dpw_NMDF,dmst,dmst_NMDF,drad,drad_NMDF,dmid,dmid_NMDF
1,1.0,178.4578246330327,1.0,12145.233230742459,1.0,13980.811869362435,1.0,11957.848651911483
2,1.0,179.6684066740931,1.0,12280.190981720893,1.0,14191.680980583897,1.0,12193.061933647086
3,0.981605056829529,179.6684066740931,0.9843220159095637,12280.190981720893,0.9796679439592534,14191.680980583897,0.9844414877576791,12193.061933647086
4,0.9690292486673042,179.6684066740931,0.9455794369612793,12280.190981720893,0.9468835078963345,14191.680980583897,0.9403593255741406,12193.061933647086
5,0.9719573294855972,179.6684066740931,0.9808334430287298,12280.190981720893,0.9665834959653937,14191.680980583897,0.980316486581739,12193.061933647086
6,0.9560374184857288,179.6684066740931,0.9530003218747645,12280.190981720893,0.9426435181131302,14191.680980583897,0.9484612082572572,12193.061933647086
7,0.9292575714265522,179.6684066740931,0.9174158878964362,12280.190981720893,0.9135040314972713,14191.680980583897,0.9172010857819399,12193.061933647086
8,0.9414093167063006,179.6684066740931,0.9343606893976487,12280.190981720893,0.9153780417557298,14191.680980583897,0.9289189414710417,12193.061933647086
9,0.9156330535639514,179.6684066740931,0.9199909742218424,12280.190981720893,0.9002698901452987,14191.680980583897,0.9183180987623637,12193.061933647086
10,0.9074974820281542,179.6684066740931,0.8979666428929002,12280.190981720893,0.8921932201549885,14191.680980583897,0.8876172839112928,12193.061933647086
11,0.900683183511732,179.6684066740931,0.8951977803286458,12280.190981720893,0.8914704863254014,14191.680980583897,0.8898616219036624,12193.061933647086
12,0.8993823241888438,179.6684066740931,0.8865187850263996,12280.190981720893,0.871919289568203,14191.680980583897,0.8818883262022463,12193.061933647086
13,0.8888272271980251,179.6684066740931,0.8929300182100283,12280.190981720893,0.878946969763485,14191.680980583897,0.8957834725460461,12193.061933647086
14,0.8628642106366263,179.6684066740931,0.849357065937116,12280.190981720893,0.8539630469543954,14191.680980583897,0.8514043352647411,12193.061933647086
15,0.8641401899430533,179.6684066740931,0.8721351214766673,12280.190981720893,0.8591638066814828,14191.680980583897,0.8773471627286873,12193.061933647086
16,0.8696291447558088,179.6684066740931,0.8630366729895449,12280.190981720893,0.8543303375326106,14191.680980583897,0.8597885412730422,12193.061933647086
17,0.8389030787325514,179.6684066740931,0.8449299929234103,12280.190981720893,0.8311396822918307,14191.680980583897,0.8497363067101619,12193.061933647086
18,0.8370008428345813,179.6684066740931,0.8390704090487239,12280.190981720893,0.8298250202779391,14191.680980583897,0.8385461489384145,12193.061933647086
19,0.817804359453167,179.6684066740931,0.8154133011145083,12280.190981720893,0.8025967384173662,14191.680980583897,0.8120306126253554,12193.061933647086
20,0.8238695565958534,179.6684066740931,0.8151483336126129,12280.190981720893,0.8092661485284978,14191.680980583897,0.8090021176756055,12193.061933647086
21,0.8116928981252693,179.6684066740931,0.8067243203015014,12280.190981720893,0.8007614139904528,14191.680980583897,0.8059763960330476,12193.061933647086
22,0.8055354997938903,179.6684066740931,0.8055536566781407,12280.190981720893,0.7975696428920239,14191.680980583897,0.807841285910792,12193.061933647086
23,0.7974947523086473,179.6684066740931,0.7859409208426704,12280.190981720893,0.793998938726436,14191.680980583897,0.7845095525703263,12193.061933647086
24,0.7989643546914392,179.6684066740931,0.8051103809393386,12280.190981720893,0.7976780313197277,14191.680980583897,0.8066388249519219,12193.061933647086
25,0.7898793604252073,179.6684066740931,0.7762441660138079,12280.190981720893,0.7746177918676874,14191.680980583897,0.7752273772397573,12193.061933647086
26,0.7732726956991665,179.6684066740931,0.7696343004277573,12280.190981720893,0.7684577886244399,14191.680980583897,0.7709208757986136,12193.061933647086
27,0.7571013881714408,179.6684066740931,0.7459732639598874,12280.190981720893,0.7396083795123782,14191.680980583897,0.7423174210805062,12193.061933647086
28,0.7512564247934257,179.6684066740931,0.7508261593256382,12280.190981720893,0.7480286818993772,14191.680980583897,0.7481129626946034,12193.061933647086
29,0.75619961313996,179.6684066740931,0.7506333310182711,12280.190981720893,0.7508659249484816,14191.680980583897,0.7509458137438018,12193.061933647086
30,0.7582455885748183,179.6684066740931,0.7575263707702061,12280.190981720893,0.752326490488538,14191.680980583897,0.7591387846303452,12193.061933647086
31,0.7611869580545808,179.6684066740931,0.7649051587210847,12280.190981720893,0.7473859724766021,14191.680980583897,0.7649420193975063,12193.061933647086
32,0.7299286045741092,179.6684066740931,0.7146467267822787,12280.190981720893,0.7202395495299226,14191.680980583897,0.7083608414084633,12193.061933647086
33,0.7222783047074901,179.6684066740931,0.7017289521988491,12280.190981720893,0.7133458462009332,14191.680980583897,0.7021826356503894,12193.061933647086
34,0.7334150793000053,179.6684066740931,0.7179737133071865,12280.190981720893,0.712961976134738,14191.680980583897,0.7142831533506441,12193.061933647086
35,0.7118865448141056,179.6684066740931,0.6990831338147945,12280.190981720893,0.701074323958092,14191.680980583897,0.6976662468167455,12193.061933647086
36,0.7098152529884234,179.6684066740931,0.6924353033227736,12280.190981720893,0.6973361992524669,14191.680980583897,0.688824940121519,12193.061933647086
37,0.6893949520984761,179.6684066740931,0.66568661947131,12280.190981720893,0.6661499156187105,14191.680980583897,0.6654870515046013,12193.061933647086
38,0.7085638734089584,179.6684066740931,0.6725315734324827,12280.190981720893,0.67885234231027,14191.680980583897,0.668726872998053,12193.061933647086
39,0.692894406964056,179.6684066740931,0.6753105690975392,12280.190981720893,0.6650812130961217,14191.680980583897,0.6731687313259324,12193.061933647086
40,0.6855859284445665,179.6684066740931,0.6523019391994498,12280.190981720893,0.6555059353860025,14191.680980583897,0.6523968654084125,12193.061933647086
41,0.6892558873139856,179.6684066740931,0.6387977010766326,12280.190981720893,0.6425800914689851,14191.680980583897,0.6360557513580181,12193.061933647086
42,0.6865777924596097,179.6684066740931,0.6496275415306261,12280.190981720893,0.6413590859393785,14191.680980583897,0.6486570972486291,12193.061933647086
43,0.674055994782689,179.6684066740931,0.6384507726428083,12280.190981720893,0.6418922823809616,14191.680980583897,0.6353296618817946,12193.061933647086
44,0.6671809367532922,179.6684066740931,0.6294040919660617,12280.190981720893,0.6308221820569118,14191.680980583897,0.6253731909059245,12193.061933647086
45,0.6696093894303545,179.6684066740931,0.6114751242353462,12280.190981720893,0.6200115344025467,14191.680980583897,0.6028244075112927,12193.061933647086
