gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF
1,1.0,6494.675717437793,1.0,124.55753581826345,1.0,8.919320198024526,1.0,795542.7279488827,1.0,1.3281935345800207,1.0,8.919320198024526
2,1.0,6502.785573642204,0.9983358894409999,124.55753581826345,0.9978223704159298,8.919320198024526,0.9956494829024649,795542.7279488827,1.0,1.5465102387948895,0.9978223704159298,8.919320198024526
3,1.0,6570.960639156512,0.985247014236587,124.55753581826345,0.9855712985896333,8.919320198024526,0.9713507846036539,795542.7279488827,1.0,2.210095994210034,0.9855712985896323,8.919320198024526
4,0.9991444430830714,6570.960639156512,0.9824772152315151,124.55753581826345,0.9829068490518995,8.919320198024526,0.9661058739131344,795542.7279488827,1.0,3.1431805826705426,0.9829068490519002,8.919320198024526
5,0.951725834804527,6570.960639156512,0.9614724404797662,124.55753581826345,0.96243235742214,8.919320198024526,0.9262760426131368,795542.7279488827,0.4483364313945235,3.1431805826705426,0.9624323574221395,8.919320198024526
6,0.9664168620683247,6570.960639156512,0.9755350265282549,124.55753581826345,0.9761741063841953,8.919320198024526,0.952915885974983,795542.7279488827,0.6738817201880528,3.1431805826705426,0.9761741063841958,8.919320198024526
7,0.9610780938082417,6570.960639156512,0.9628593255897402,124.55753581826345,0.9626088075817384,8.919320198024526,0.9266157164339357,795542.7279488827,0.23211309723828522,3.1431805826705426,0.9626088075817382,8.919320198024526
8,0.9067099210127226,6570.960639156512,0.9288818735730783,124.55753581826345,0.9293295420278531,8.919320198024526,0.8636533976857005,795542.7279488827,0.24990315642162317,3.1431805826705426,0.929329542027854,8.919320198024526
9,0.8765820155948257,6570.960639156512,0.9263243543307017,124.55753581826345,0.9271703366500783,8.919320198024526,0.8596448331638188,795542.7279488827,0.602149852001286,3.1431805826705426,0.927170336650078,8.919320198024526
10,0.8993735703041014,6570.960639156512,0.910543293746567,124.55753581826345,0.9112478218695608,8.919320198024526,0.8303725928620171,795542.7279488827,0.3726406034795314,3.1431805826705426,0.91124782186956,8.919320198024526
11,0.8822494718932541,6570.960639156512,0.8928731163250967,124.55753581826345,0.8941409927197547,8.919320198024526,0.7994881148618678,795542.7279488827,0.4787171283073889,3.1431805826705426,0.8941409927197544,8.919320198024526
12,0.9073347498897227,6570.960639156512,0.9055226457429034,124.55753581826345,0.9057049947253356,8.919320198024526,0.8203015374704204,795542.7279488827,1.0,6.431906275353462,0.9057049947253357,8.919320198024526
