gen,dpw,dpw_NMDF,dmst,dmst_NMDF,drad,drad_NMDF,dmid,dmid_NMDF
1,1.0,237.6031351085173,1.0,18083.84098795186,1.0,19895.5374243145,1.0,18000.35734907147
2,1.0,238.36327546435965,1.0,18263.355506917105,0.9990551572656629,19895.5374243145,1.0,18269.837618543228
3,0.9778189772371608,238.36327546435965,0.9773418335947247,18263.355506917105,0.9729570176599229,19895.5374243145,0.9736576922191974,18269.837618543228
4,0.9547294311212582,238.36327546435965,0.9541713281176416,18263.355506917105,0.9620751478517965,19895.5374243145,0.9541117097778015,18269.837618543228
5,0.9645314259758752,238.36327546435965,0.9438230937027837,18263.355506917105,0.9586199298958036,19895.5374243145,0.9387120884817075,18269.837618543228
6,0.9332180968097422,238.36327546435965,0.9154473534115946,18263.355506917105,0.9325576501574406,19895.5374243145,0.9133088907830652,18269.837618543228
7,0.9521184749425611,238.36327546435965,0.9380860932008428,18263.355506917105,0.9547490127235607,19895.5374243145,0.9326857211932549,18269.837618543228
8,0.9259345674880167,238.36327546435965,0.9084693385864495,18263.355506917105,0.9228119885675966,19895.5374243145,0.9064767103810513,18269.837618543228
9,0.9157368242062754,238.36327546435965,0.9090481857255905,18263.355506917105,0.9241794522115094,19895.5374243145,0.9083913408498241,18269.837618543228
10,0.9165138477997321,238.36327546435965,0.8947828893270998,18263.355506917105,0.9075929330668663,19895.5374243145,0.8920882007362639,18269.837618543228
11,0.9041083818372334,238.36327546435965,0.8930863101085139,18263.355506917105,0.9027314917635834,19895.5374243145,0.8910012427490241,18269.837618543228
12,0.8886632881214014,238.36327546435965,0.8781285369935442,18263.355506917105,0.8920569182497213,19895.5374243145,0.8791891466809862,18269.837618543228
13,0.8944707303389181,238.36327546435965,0.8807059916313154,18263.355506917105,0.8963486511182215,19895.5374243145,0.8762570518610518,18269.837618543228
14,0.8919681857836467,238.36327546435965,0.8846172174724977,18263.355506917105,0.8853066806344636,19895.5374243145,0.8778082371725426,18269.837618543228
15,0.8541782022228238,238.36327546435965,0.8478167495915143,18263.355506917105,0.8543926913160736,19895.5374243145,0.8466856806786773,18269.837618543228
16,0.8527940752586579,238.36327546435965,0.8457551849489053,18263.355506917105,0.8563143583105154,19895.5374243145,0.8420626777036275,18269.837618543228
17,0.8545813821307512,238.36327546435965,0.84119304358039,18263.355506917105,0.8578580032416572,19895.5374243145,0.836511402808832,18269.837618543228
18,0.8452662307072584,238.36327546435965,0.8385501470256078,18263.355506917105,0.8447288764542656,19895.5374243145,0.8351059806342623,18269.837618543228
19,0.8355485530781921,238.36327546435965,0.8222153718516705,18263.355506917105,0.8374336575022129,19895.5374243145,0.8224766043737628,18269.837618543228
20,0.8168337068812648,238.36327546435965,0.8049284628013758,18263.355506917105,0.813666890991081,19895.5374243145,0.8034827133737401,18269.837618543228
21,0.8338331018204901,238.36327546435965,0.8172381468452,18263.355506917105,0.8316537684732128,19895.5374243145,0.8168466179469693,18269.837618543228
22,0.8023203909462184,238.36327546435965,0.792302761039593,18263.355506917105,0.8035608317427139,19895.5374243145,0.7896800327185796,18269.837618543228
23,0.8030444929981293,238.36327546435965,0.7903252169877742,18263.355506917105,0.8050012420035245,19895.5374243145,0.7913730984427861,18269.837618543228
24,0.7837097153639159,238.36327546435965,0.7737770410937566,18263.355506917105,0.7887099468994929,19895.5374243145,0.7742015721197805,18269.837618543228
25,0.7839228248332054,238.36327546435965,0.764478236518426,18263.355506917105,0.7828297812225066,19895.5374243145,0.7611080817804492,18269.837618543228
26,0.7704270786393542,238.36327546435965,0.7593546549991002,18263.355506917105,0.7661452355469999,19895.5374243145,0.7592344137158865,18269.837618543228
