gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,drad,drad_NMDF,dmst,dmst_NMDF
1,1.0,6906.239564353734,1.0,126.85462406953073,1.0,9.088279166119824,1.0,825968.1820132778,1.0,8734.95346195028,1.0,7061.719547405058
2,0.9575005088018682,6906.239564353734,0.9955961658953681,126.85462406953073,0.9949921840817773,9.088279166119824,0.9900094463838233,825968.1820132778,0.9701889507858191,8734.95346195028,0.9743502537081323,7061.719547405058
3,0.9528876026997029,6906.239564353734,0.987181096599379,126.85462406953073,0.9870000493541208,9.088279166119824,0.9741690974250354,825968.1820132778,0.9620640293519501,8734.95346195028,0.9690671040374901,7061.719547405058
4,0.9036135354502653,6906.239564353734,0.9280721377800016,126.85462406953073,0.9301388670135395,9.088279166119824,0.8651583119292288,825968.1820132778,0.9258365002735917,8734.95346195028,0.9049236893229485,7061.719547405058
5,0.9031299619716249,6906.239564353734,0.945052767789561,126.85462406953073,0.9463167689106481,9.088279166119824,0.8955154271214875,825968.1820132778,0.9182427363052593,8734.95346195028,0.9154677610956726,7061.719547405058
6,0.9180512721740972,6906.239564353734,0.9335494958928121,126.85462406953073,0.9342857632330497,9.088279166119824,0.8728898873799599,825968.1820132778,0.9199953822366407,8734.95346195028,0.9214013843583118,7061.719547405058
7,0.9247876724640651,6906.239564353734,0.9386636095414723,126.85462406953073,0.9381094675829392,9.088279166119824,0.8800493731687437,825968.1820132778,0.9206334520544602,8734.95346195028,0.9326591632423578,7061.719547405058
8,0.9168171159489725,6906.239564353734,0.9141480997936996,126.85462406953073,0.9149029285945816,9.088279166119824,0.8370473687509405,825968.1820132778,0.9095280828461919,8734.95346195028,0.9120433424733517,7061.719547405058
9,0.8802877741820269,6906.239564353734,0.9131834106102286,126.85462406953073,0.913040094509918,9.088279166119824,0.8336422141826787,825968.1820132778,0.8850334358480361,8734.95346195028,0.8885436000851196,7061.719547405058
10,0.8833891177871733,6906.239564353734,0.8962139140138862,126.85462406953073,0.8955557060403898,9.088279166119824,0.8020200226214997,825968.1820132778,0.8814430646045261,8734.95346195028,0.8805043609016893,7061.719547405058
11,0.876053446053613,6906.239564353734,0.8850533413755328,126.85462406953073,0.8846285802398148,9.088279166119824,0.7825677249771085,825968.1820132778,0.8783711118698035,8734.95346195028,0.874249809555887,7061.719547405058
12,0.8708881197171929,6906.239564353734,0.8948434458500956,126.85462406953073,0.8939504507334919,9.088279166119824,0.7991474083666108,825968.1820132778,0.8741998375712464,8734.95346195028,0.8813821889260666,7061.719547405058
13,0.8223812683599732,6906.239564353734,0.8651507078976927,126.85462406953073,0.8649846965317408,9.088279166119824,0.7481985252341077,825968.1820132778,0.8404174101895981,8734.95346195028,0.8312736517134612,7061.719547405058
14,0.844146032294289,6906.239564353734,0.8653346713740233,126.85462406953073,0.8673370105535262,9.088279166119824,0.7522734898759283,825968.1820132778,0.8430250063154585,8734.95346195028,0.8464740799416314,7061.719547405058
15,0.8116812786912503,6906.239564353734,0.8516125633581696,126.85462406953073,0.8526256445355048,9.088279166119824,0.7269704897195826,825968.1820132778,0.8313655483466863,8734.95346195028,0.8207705564212583,7061.719547405058
16,0.818450333106175,6906.239564353734,0.8363573542086733,126.85462406953073,0.8363679418516312,9.088279166119824,0.6995113341571322,825968.1820132778,0.8250335775257862,8734.95346195028,0.8260541250083179,7061.719547405058
17,0.8216258038631489,6906.239564353734,0.857647660767906,126.85462406953073,0.8576248654909375,9.088279166119824,0.7355204099083464,825968.1820132778,0.828566695725508,8734.95346195028,0.8345223421863847,7061.719547405058
18,0.8228727118595447,6906.239564353734,0.8302709134838612,126.85462406953073,0.8310667613991952,9.088279166119824,0.6906719619025458,825968.1820132778,0.8243562935677545,8734.95346195028,0.8259047442426358,7061.719547405058
19,0.814552327408683,6906.239564353734,0.8267835127308822,126.85462406953073,0.8278026088155221,9.088279166119824,0.6852571591617842,825968.1820132778,0.8178579415949493,8734.95346195028,0.8201092735640624,7061.719547405058
20,0.7919067253460498,6906.239564353734,0.8046238493508077,126.85462406953073,0.8056187435952815,9.088279166119824,0.6490215600320393,825968.1820132778,0.808819836831349,8734.95346195028,0.7894919063059073,7061.719547405058
21,0.7757660257551682,6906.239564353734,0.7962099538048725,126.85462406953073,0.7978109201390672,9.088279166119824,0.6365022642931429,825968.1820132778,0.7838754450610623,8734.95346195028,0.777641607647872,7061.719547405058
22,0.793466811323922,6906.239564353734,0.8022028983453211,126.85462406953073,0.8014623118576187,9.088279166119824,0.6423418373281575,825968.1820132778,0.7939916262695669,8734.95346195028,0.7994148324140613,7061.719547405058
23,0.7495079104648001,6906.239564353734,0.7805038513665369,126.85462406953073,0.7811672775136035,9.088279166119824,0.6102223154580154,825968.1820132778,0.7706904125229591,8734.95346195028,0.7580208711082331,7061.719547405058
24,0.7784423862386213,6906.239564353734,0.784423408625758,126.85462406953073,0.7843937852386246,9.088279166119824,0.6152736103209765,825968.1820132778,0.7821696129522052,8734.95346195028,0.7846007653481861,7061.719547405058
25,0.762922266297828,6906.239564353734,0.7737440726091408,126.85462406953073,0.7738218289948512,9.088279166119824,0.5988002230289355,825968.1820132778,0.7669431470719182,8734.95346195028,0.7635703610135925,7061.719547405058
26,0.7554598547618212,6906.239564353734,0.7705187725791958,126.85462406953073,0.7706942522927724,9.088279166119824,0.5939696305171143,825968.1820132778,0.7585703270950293,8734.95346195028,0.7590825641652212,7061.719547405058
27,0.7347583333045182,6906.239564353734,0.7493979308196773,126.85462406953073,0.7514600563255301,9.088279166119824,0.5646922162527676,825968.1820132778,0.7498727424220618,8734.95346195028,0.7368295988596267,7061.719547405058
28,0.7439776057431119,6906.239564353734,0.7405389951194593,126.85462406953073,0.7419092911769257,9.088279166119824,0.5504293963346483,825968.1820132778,0.7407329429265881,8734.95346195028,0.7430102479926952,7061.719547405058
29,0.7078939234682412,6906.239564353734,0.7533393539681619,126.85462406953073,0.7550478759959457,9.088279166119824,0.5700972950459887,825968.1820132778,0.7300625385833142,8734.95346195028,0.7188105820935896,7061.719547405058
30,0.7115065652750358,6906.239564353734,0.7379307162905578,126.85462406953073,0.7396769975798878,9.088279166119824,0.5471220607487967,825968.1820132778,0.7164828196948941,8734.95346195028,0.7170628764280297,7061.719547405058
31,0.7189562268442219,6906.239564353734,0.7357938830853562,126.85462406953073,0.7360265983381106,9.088279166119824,0.5417351534611689,825968.1820132778,0.716699048038291,8734.95346195028,0.7228528774664221,7061.719547405058
32,0.7174009101237233,6906.239564353734,0.7245302587759398,126.85462406953073,0.7261830984805896,9.088279166119824,0.5273418925188693,825968.1820132778,0.7230760094979489,8734.95346195028,0.7169498719757662,7061.719547405058
33,0.6877868329981711,6906.239564353734,0.7191794218227517,126.85462406953073,0.7214625678369113,9.088279166119824,0.5205082367898294,825968.1820132778,0.7041733056356901,8734.95346195028,0.6951712953672347,7061.719547405058
34,0.7081763703874527,6906.239564353734,0.7081796969561418,126.85462406953073,0.7103187928697079,9.088279166119824,0.5045527875038784,825968.1820132778,0.7067547200144001,8734.95346195028,0.7012843399140836,7061.719547405058
35,0.6900245700249675,6906.239564353734,0.7100590876353318,126.85462406953073,0.7110604317720322,9.088279166119824,0.5056069376318276,825968.1820132778,0.6997915295627843,8734.95346195028,0.6945164505804978,7061.719547405058
36,0.6642986413740879,6906.239564353734,0.688356189018862,126.85462406953073,0.6901115081313528,9.088279166119824,0.476253893655329,825968.1820132778,0.6701750217573323,8734.95346195028,0.6710981268649935,7061.719547405058
37,0.6421844716727457,6906.239564353734,0.6828184264079218,126.85462406953073,0.6839355570888938,9.088279166119824,0.4677678462504948,825968.1820132778,0.6636254829452591,8734.95346195028,0.6511799294543296,7061.719547405058
38,0.6601672126248254,6906.239564353734,0.6984646960407225,126.85462406953073,0.6998109122430862,9.088279166119824,0.4897353128945002,825968.1820132778,0.6662239836583896,8734.95346195028,0.6655497562132976,7061.719547405058
39,0.6583194349680115,6906.239564353734,0.6842051891124515,126.85462406953073,0.6874736073579104,9.088279166119824,0.47261996081369756,825968.1820132778,0.668001340272526,8734.95346195028,0.6621516491543801,7061.719547405058
40,0.6607833518783368,6906.239564353734,0.6926836192679461,126.85462406953073,0.6955731809961112,9.088279166119824,0.48382205012104784,825968.1820132778,0.6689084127364301,8734.95346195028,0.6606518981052398,7061.719547405058
41,0.6368996279602607,6906.239564353734,0.6682062933765692,126.85462406953073,0.6709158167714198,9.088279166119824,0.45012803319406053,825968.1820132778,0.6426278101467787,8734.95346195028,0.6408562145633567,7061.719547405058
42,0.6189709711342747,6906.239564353734,0.6629943876359613,126.85462406953073,0.6657210058265444,9.088279166119824,0.44318445759870534,825968.1820132778,0.6188547486485014,8734.95346195028,0.6236096836860222,7061.719547405058
43,0.6528302556462993,6906.239564353734,0.6692716993272654,126.85462406953073,0.6723649132516565,9.088279166119824,0.4520745765719071,825968.1820132778,0.6592873068424182,8734.95346195028,0.651230193445106,7061.719547405058
44,0.6374649357084439,6906.239564353734,0.6752345091472672,126.85462406953073,0.6785884575447577,9.088279166119824,0.46048229471297264,825968.1820132778,0.6421045963983013,8734.95346195028,0.6416035220597426,7061.719547405058
45,0.6246492142617548,6906.239564353734,0.6426392111732822,126.85462406953073,0.645263960127301,9.088279166119824,0.41636557823916664,825968.1820132778,0.6185838271398963,8734.95346195028,0.6267162698302848,7061.719547405058
46,0.6064346001505181,6906.239564353734,0.6416055880989254,126.85462406953073,0.647030986831368,9.088279166119824,0.4186490979199733,825968.1820132778,0.6234924096317945,8734.95346195028,0.6028715949528612,7061.719547405058
47,0.626390865879517,6906.239564353734,0.6663633793703037,126.85462406953073,0.6704845456752629,9.088279166119824,0.44954952598936254,825968.1820132778,0.6228603359886554,8734.95346195028,0.6286706539139556,7061.719547405058
