dmd,dmd_std,dpw,dpw_std,dtd,dtd_std,dmi,dmi_std
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.9742639687875916,0.025065016203288843,0.9759257406426906,0.022276377356159026,0.952927288237098,0.04330315060483444
0.959181023522616,0.05772675013650476,0.9824669366535268,0.02128770762704718,0.9840032727233128,0.021660757963741527,0.9687316291657542,0.04229775110642784
0.8988389639107917,0.04475322491368027,0.9745359245824238,0.019556451936560745,0.9738682192033755,0.020173420818732076,0.9488262752818835,0.039387255595266374
0.9524877906109673,0.034913577928562305,0.9579991965770863,0.034650307849875266,0.9578348940749807,0.034887611117625936,0.9186648297171233,0.0660204566503681
0.8855616413097683,0.011484202380963189,0.9429410367657317,0.02728304872757437,0.9437576528734648,0.02921269849375234,0.8915318891105178,0.05560126053541925
0.9164506334888863,0.013191731199432935,0.951291686019672,0.012845426970267549,0.9518006626799943,0.013043091273683865,0.9060946237080502,0.024949109463037175
0.8873414861999303,0.019348640889984826,0.9332137854499242,0.015809357240626987,0.9348117492975371,0.014586700829116981,0.874085778465799,0.02730156435790797
0.8954716487384249,0.01697409347965708,0.8957036790227789,0.017437271813021793,0.8962662167428973,0.016957800901980787,0.8035806982860563,0.030194902840425846
0.8649632054993527,0.02840639538303044,0.9056078165225389,0.023115960202535993,0.9052287292531466,0.023396104222473315,0.8199864299580556,0.042496010340747056
0.8933629288054337,0.013545023978605318,0.8962534823603764,0.007158172433899819,0.8972373951909532,0.0068446304778788285,0.8050817922954251,0.012308170900109019
0.8635715304878243,0.037294975082926306,0.9012496557782564,0.020245187554681788,0.901586677734984,0.020925326376378124,0.8132964067531638,0.03803808873141127
0.8001242516876962,0.026309711443697283,0.8570452379290616,0.016310486057185766,0.8567824732511836,0.017622751780774253,0.7343867678507415,0.03018783967661716
0.8206450789040868,0.022638320296295696,0.8682714660054195,0.028782904191729127,0.8684793833361484,0.028256581494416504,0.7550548736776873,0.048559418070431876
0.8239571810738692,0.020111488402052,0.8600866786000957,0.010795285218231955,0.8606890787198634,0.01201644730020683,0.7409300852333661,0.020723805935345393
0.8180654137981832,0.032621057580842355,0.824085804948996,0.044899638023849726,0.8232250483744666,0.04408522176350515,0.6796429870490798,0.07190115535419161
0.8223219839479873,0.014295354452413115,0.8511281358684318,0.016149980272139968,0.8496654802756511,0.017270250992726856,0.7222296899414048,0.029555275181349594
0.8026080879113572,0.048756166242683766,0.8334454606362911,0.027905415077224986,0.8335190955432176,0.026737509213487314,0.6954689770341247,0.045039773124574516
0.7732412153329653,0.01837576597484114,0.780183212824809,0.03691860629493957,0.7815081306325883,0.035307245185018335,0.6120015598073968,0.05441265374788212
0.7454677364115206,0.06736343514890167,0.8059897267295494,0.02812057710061525,0.8070846943504028,0.026054977388006547,0.6520645657013731,0.0415771201118814
0.7583134924875131,0.03623806837924102,0.7759569505687173,0.02959352753014205,0.7754186346074551,0.029664130089239807,0.6021540195104405,0.046535438857684366
0.7304892047381273,0.052783630496618876,0.783686383849827,0.029249686750400586,0.7829466801097008,0.028770989931514106,0.6138332737564413,0.044559615708841226
0.7079327556764828,0.035673951126070955,0.7513047810271001,0.02404855941938549,0.7533603753890409,0.024278164110676386,0.5681412844589012,0.03632456617185591
0.7543915332686546,0.03530636975416172,0.7750449325347976,0.019512084264514215,0.7747272758836904,0.01982064630264884,0.6005952100180177,0.03066279032043483
0.7062687237280246,0.0072931747391938246,0.7270495745574054,0.05020450340865566,0.7267738731839866,0.04926646019843773,0.5306274468433374,0.07306602857455509
0.7424541504489298,0.05204357777058509,0.7238290758903978,0.005939486613383012,0.7247475509403682,0.0030654018429569336,0.5252684092825204,0.00444974673342021
0.7227129942052458,0.02145989770943264,0.7341417188627027,0.03853159058304282,0.7343694695667202,0.038005492863497525,0.5407429353195035,0.05617403804377378
0.7321714576319658,0.009238840324384923,0.7252033889133335,0.015243878997958087,0.7238804856107808,0.015439917778587671,0.5242413485091093,0.022471478048989725
0.6405743573798167,0.024006095572539573,0.7213276713548801,0.019294134973531985,0.7207313483560989,0.01836008671623288,0.5197907692874276,0.026398040880678545
0.6458835513374949,0.03069189902734136,0.6876381587541268,0.010311527320212387,0.6883859367420843,0.010437885879032315,0.4739841473659004,0.014344580573448038
0.6839643327015371,0.015951323921451988,0.7079069974498795,0.005282044544641398,0.7072888205283566,0.005112817245560422,0.5002836165445798,0.0072233864793116035
0.6442188612513245,0.041213900831693705,0.6679544458149524,0.028920753320627858,0.6688206978864414,0.029798087143402804,0.44820905191871313,0.03999443676810091
0.6492867006027967,0.018852310718725958,0.6762235482479192,0.020300842443895625,0.6763960729056365,0.0203258365639257,0.4579247870741903,0.027659544068611368
0.6316833381783947,0.05936415296876909,0.6381173653288585,0.009203558046805286,0.6383129633383128,0.009392524278965586,0.4075316586780697,0.012043730843659426
0.6494969223334052,0.03436955687383598,0.6398819801098954,0.018070566111293,0.6392987752436178,0.017544963819030576,0.40901074978340013,0.022650219227510763
0.6239060746922119,0.011893004936467758,0.6375934004400793,0.009039048754373597,0.6381058219446881,0.00977304573547892,0.40727455242265376,0.012421354818426832
0.6168133178022973,0.00785018638039676,0.6294241644498194,0.010298208799197982,0.6295886466278949,0.010165878014339606,0.39648520903854684,0.012727782732489172
0.6256861627788921,0.002365806212000165,0.620441746180105,0.0189059823476109,0.6202259417916095,0.018763764123949637,0.38503229771538755,0.02348386327486379
0.6203648144058197,0.009248809574565402,0.6026487844447795,0.013192223665135576,0.6036168070385505,0.013252303302982854,0.3645288732822487,0.015935948876104528
