gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF,dmid,dmid_NMDF
1,1.0,252.9309603162701,1.0,4.469791527972513,1.0,3196645.8085655705,1.0,1.024383915145634,1.0,17.879166111890036,1.0,19557.74167801389
2,1.0,252.95735378943115,0.9999594936932885,4.469791527972513,0.9999189890273403,3196645.8085655705,0.17811174341394487,1.024383915145634,0.9999594936932896,17.879166111890036,0.9975899556435261,19557.74167801389
3,0.9867009119839777,252.95735378943115,0.9866220877923833,4.469791527972513,0.9734231441198082,3196645.8085655705,0.35885731634780615,1.024383915145634,0.9866220877923868,17.879166111890036,0.9833204249819668,19557.74167801389
4,0.9844988344257266,252.95735378943115,0.9838340181538284,4.469791527972513,0.9679293752767102,3196645.8085655705,0.29742992292585596,1.024383915145634,0.9838340181538298,17.879166111890036,0.9812177723071948,19557.74167801389
5,0.9557286590057427,252.95735378943115,0.9557260425447858,4.469791527972513,0.9134122683983216,3196645.8085655705,0.9770588261394625,1.024383915145634,0.9557260425447877,17.879166111890036,0.9637770885965802,19557.74167801389
6,0.9548284811630567,252.95735378943115,0.9547338491307816,4.469791527972513,0.9115167226760775,3196645.8085655705,1.0,1.376211706866081,0.9547338491307814,17.879166111890036,0.9489618919345771,19557.74167801389
7,0.945246499539343,252.95735378943115,0.9451562820387737,4.469791527972513,0.8933203974773595,3196645.8085655705,0.18233230289567146,1.376211706866081,0.9451562820387744,17.879166111890036,0.9390142350198633,19557.74167801389
8,0.9382914371014076,252.95735378943115,0.9378631647990451,4.469791527972513,0.8795873158868818,3196645.8085655705,0.29415137774909345,1.376211706866081,0.9378631647990455,17.879166111890036,0.9401286153579358,19557.74167801389
9,0.9354629569173626,252.95735378943115,0.9352382822675439,4.469791527972513,0.8746706446187484,3196645.8085655705,0.2358387089507303,1.376211706866081,0.9352382822675451,17.879166111890036,0.9300768034656831,19557.74167801389
10,0.9228508330901775,252.95735378943115,0.9227316882662963,4.469791527972513,0.8514337685307716,3196645.8085655705,0.4598912634753642,1.376211706866081,0.9227316882662974,17.879166111890036,0.9166380679769142,19557.74167801389
