gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF
1,1.0,124.64598433435691,1.0,8.92700988450885,1.0,796915.054781188,1.0,1.0136087337024389,1.0,8.927009884508855
2,1.0,125.66610058428904,1.0,8.996188928622669,1.0,809314.1523947302,1.0,5.766544467195948,1.0,8.996188928622665
3,0.9866115359767611,125.66610058428904,0.9880379899864019,8.996188928622669,0.9762190696563693,809314.1523947302,0.3275703240927904,5.766544467195948,0.9880379899864019,8.996188928622665
4,0.9738422103710996,125.66610058428904,0.9746605639586324,8.996188928622669,0.9499632149361594,809314.1523947302,1.0,7.93110878175662,0.9746605639586324,8.996188928622665
5,0.9848616543278184,125.66610058428904,0.9834660667589784,8.996188928622669,0.967205504466377,809314.1523947302,1.0,10.794980361624619,0.9834660667589794,8.996188928622665
6,0.9760301554534682,125.66610058428904,0.9761350438754108,8.996188928622669,0.9528396238816513,809314.1523947302,0.43437870934313894,10.794980361624619,0.9761350438754114,8.996188928622665
7,0.918617783233652,125.66610058428904,0.9196599883853908,8.996188928622669,0.8457744942370184,809314.1523947302,0.16102717418609233,10.794980361624619,0.9196599883853915,8.996188928622665
8,0.9331711880127315,125.66610058428904,0.9360281385757852,8.996188928622669,0.8761486762056507,809314.1523947302,0.307643638209838,10.794980361624619,0.936028138575786,8.996188928622665
9,0.8969662944253715,125.66610058428904,0.8985551307709337,8.996188928622669,0.8074013230347699,809314.1523947302,0.09452191579789995,10.794980361624619,0.8985551307709339,8.996188928622665
10,0.9254061508620659,125.66610058428904,0.9257856530725352,8.996188928622669,0.8570790754349401,809314.1523947302,1.0,21.86878706640333,0.925785653072535,8.996188928622665
11,0.8929077801055658,125.66610058428904,0.8935820479398051,8.996188928622669,0.7984888764002968,809314.1523947302,0.3120777787324867,21.86878706640333,0.8935820479398054,8.996188928622665
12,0.8888192552681653,125.66610058428904,0.8900989680180641,8.996188928622669,0.792276172866825,809314.1523947302,0.3369514814596085,21.86878706640333,0.8900989680180654,8.996188928622665
13,0.8693413460171903,125.66610058428904,0.8698003907976337,8.996188928622669,0.7565527198317172,809314.1523947302,0.08012073923985291,21.86878706640333,0.8698003907976343,8.996188928622665
14,0.8670818602445616,125.66610058428904,0.868430879991229,8.996188928622669,0.7541721933223402,809314.1523947302,0.1248600092092237,21.86878706640333,0.868430879991229,8.996188928622665
15,0.882301365300084,125.66610058428904,0.88298547529091,8.996188928622669,0.7796633495747147,809314.1523947302,0.1624253408386416,21.86878706640333,0.8829854752909103,8.996188928622665
16,0.8623093554129406,125.66610058428904,0.8637581537061056,8.996188928622669,0.7460781480937808,809314.1523947302,0.0424974453025692,21.86878706640333,0.863758153706106,8.996188928622665
17,0.8532316094046769,125.66610058428904,0.8540966936158768,8.996188928622669,0.7294811620455758,809314.1523947302,0.159763245155982,21.86878706640333,0.8540966936158785,8.996188928622665
18,0.827377739017687,125.66610058428904,0.8294037647728073,8.996188928622669,0.6879106050193067,809314.1523947302,0.25015280589440325,21.86878706640333,0.8294037647728075,8.996188928622665
19,0.8080622514761278,125.66610058428904,0.8096986880145596,8.996188928622669,0.655611965372499,809314.1523947302,0.4216034957618306,21.86878706640333,0.8096986880145596,8.996188928622665
20,0.8445321438109888,125.66610058428904,0.8458115926013369,8.996188928622669,0.7153972501788094,809314.1523947302,0.042227278874837945,21.86878706640333,0.8458115926013365,8.996188928622665
21,0.786261889136768,125.66610058428904,0.7883674931207603,8.996188928622669,0.6215233042095124,809314.1523947302,0.10845332254477127,21.86878706640333,0.7883674931207606,8.996188928622665
22,0.8050695698922096,125.66610058428904,0.8071311642085429,8.996188928622669,0.6514607162366375,809314.1523947302,0.13657432989452864,21.86878706640333,0.8071311642085427,8.996188928622665
23,0.8167944065445444,125.66610058428904,0.8176815345836719,8.996188928622669,0.6686030919991093,809314.1523947302,0.26524509332248564,21.86878706640333,0.8176815345836723,8.996188928622665
24,0.7886570701788517,125.66610058428904,0.7904482993152536,8.996188928622669,0.6248085138903778,809314.1523947302,0.056800944199066235,21.86878706640333,0.7904482993152543,8.996188928622665
