gen,dmd,dmd_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF
1,1.0,492.9253669310019,1.0,51.65703817738907,1.0,20.087330542922853,1.0,161400.33933625647
2,1.0,526.585432219208,0.9825057868847151,51.65703817738907,0.9814862815334247,20.087330542922853,0.9633153208383085,161400.33933625647
3,1.0,544.7842759601922,0.9525062191905888,51.65703817738907,0.9533805595767036,20.087330542922853,0.908934491378788,161400.33933625647
4,0.8544021746389963,544.7842759601922,0.9524568089416556,51.65703817738907,0.9508877997899081,20.087330542922853,0.904187607789293,161400.33933625647
5,0.9170964224948422,544.7842759601922,0.9858945692712746,51.65703817738907,0.9870895223804751,20.087330542922853,0.9743457251933151,161400.33933625647
6,0.8722255252199433,544.7842759601922,0.9806255023977797,51.65703817738907,0.983942481663664,20.087330542922853,0.9681428072224498,161400.33933625647
7,0.9338243573373184,544.7842759601922,0.9693975740296153,51.65703817738907,0.9702458492858963,20.087330542922853,0.9413770080565106,161400.33933625647
8,0.8806069935288577,544.7842759601922,0.9327130887865859,51.65703817738907,0.9334544138913238,20.087330542922853,0.8713371428131953,161400.33933625647
9,0.8910747660402039,544.7842759601922,0.9079171650952291,51.65703817738907,0.9076262237616923,20.087330542922853,0.8237853620599088,161400.33933625647
10,0.9021558901045107,544.7842759601922,0.9350383182174627,51.65703817738907,0.9356629737848372,20.087330542922853,0.8754652005118857,161400.33933625647
11,0.8912498060610928,544.7842759601922,0.8928656915390984,51.65703817738907,0.8944233179864821,20.087330542922853,0.7999930717579468,161400.33933625647
12,0.8208377478841011,544.7842759601922,0.9298437313594298,51.65703817738907,0.9311417795385699,20.087330542922853,0.8670250136022553,161400.33933625647
13,0.7711696902139956,544.7842759601922,0.8767699789089425,51.65703817738907,0.8781607932468521,20.087330542922853,0.77116637879594,161400.33933625647
14,0.8295533351912224,544.7842759601922,0.892617096628033,51.65703817738907,0.8928071092816129,20.087330542922853,0.7971045343837894,161400.33933625647
15,0.7964069508710986,544.7842759601922,0.8750152614448643,51.65703817738907,0.876381682186089,20.087330542922853,0.7680448528713194,161400.33933625647
16,0.8640925377107099,544.7842759601922,0.8352279069082434,51.65703817738907,0.8341481623503665,20.087330542922853,0.695803156752492,161400.33933625647
17,0.8411472110394749,544.7842759601922,0.8738756307944271,51.65703817738907,0.8740438365428446,20.087330542922853,0.7639526281985337,161400.33933625647
18,0.7460159958805517,544.7842759601922,0.8725146793108556,51.65703817738907,0.8710071330282082,20.087330542922853,0.7586534257860189,161400.33933625647
19,0.7475487600689853,544.7842759601922,0.7965902742079368,51.65703817738907,0.7989987082578053,20.087330542922853,0.638398935797642,161400.33933625647
20,0.6625999930229497,544.7842759601922,0.8248749533929072,51.65703817738907,0.825529973669371,20.087330542922853,0.6814997374265542,161400.33933625647
21,0.7501114581612406,544.7842759601922,0.8171846026845735,51.65703817738907,0.816663839979323,20.087330542922853,0.6669398275297734,161400.33933625647
22,0.6994380867895347,544.7842759601922,0.7956514714376315,51.65703817738907,0.7963110351496815,20.087330542922853,0.6341112647011568,161400.33933625647
23,0.7248549964984329,544.7842759601922,0.7745207681187265,51.65703817738907,0.7785896820212019,20.087330542922853,0.6062018929498773,161400.33933625647
24,0.7817420328110808,544.7842759601922,0.7972308429874057,51.65703817738907,0.7981205717548995,20.087330542922853,0.6369964470583663,161400.33933625647
25,0.8714026503803255,544.7842759601922,0.8350525513383238,51.65703817738907,0.8361007769908186,20.087330542922853,0.8738306366058132,161400.33933625647
26,0.7113081370507484,544.7842759601922,0.7510851381181642,51.65703817738907,0.7533741228442112,20.087330542922853,0.5675725689712859,161400.33933625647
27,0.7459378182124216,544.7842759601922,0.7724175036584504,51.65703817738907,0.7714878522100079,20.087330542922853,0.5951935061076116,161400.33933625647
28,0.6854858798083134,544.7842759601922,0.7427636921853924,51.65703817738907,0.7419105963752807,20.087330542922853,0.5504313330139247,161400.33933625647
29,0.6495050012429444,544.7842759601922,0.677317355006457,51.65703817738907,0.6799103339127446,20.087330542922853,0.46227806216133993,161400.33933625647
30,0.717153417593386,544.7842759601922,0.6953042740496493,51.65703817738907,0.6960756867444318,20.087330542922853,0.48452136167673354,161400.33933625647
31,0.6652951873782228,544.7842759601922,0.7349355619137454,51.65703817738907,0.7348970184801992,20.087330542922853,0.5400736277710857,161400.33933625647
32,0.6568567716394882,544.7842759601922,0.6895568030140302,51.65703817738907,0.6919531092885327,20.087330542922853,0.4787991054540676,161400.33933625647
33,0.6211427153208083,544.7842759601922,0.7104015129237542,51.65703817738907,0.7100330952729359,20.087330542922853,0.5041469963828682,161400.33933625647
34,0.5909609556543896,544.7842759601922,0.6331605486723126,51.65703817738907,0.6340548046812959,20.087330542922853,0.4020254953394365,161400.33933625647
35,0.676365744563083,544.7842759601922,0.6341132040293516,51.65703817738907,0.6341409960208635,20.087330542922853,0.4021348028343326,161400.33933625647
36,0.605034213726517,544.7842759601922,0.6547562894860379,51.65703817738907,0.6553462069539356,20.087330542922853,0.42947865096891114,161400.33933625647
37,0.5756317583001681,544.7842759601922,0.6132442900940657,51.65703817738907,0.6142492680001511,20.087330542922853,0.37730216323872184,161400.33933625647
38,0.6260912142077597,544.7842759601922,0.603266126548568,51.65703817738907,0.6038936484821811,20.087330542922853,0.3646875386771203,161400.33933625647
39,0.5925852739227776,544.7842759601922,0.5825909252157605,51.65703817738907,0.5861179752757725,20.087330542922853,0.34353428094137034,161400.33933625647
